subid,condition,notes
p1,gaze,
p2,nogaze,
p3,nogaze,
p4,gaze,
p5,gaze,
p6,nogaze,
p7,gaze,
p8,nogaze,
p9,nogaze,
p10,gaze,
p11,nogaze,condition?
p12,nogaze,
p13,gaze,
p14,nogaze,
p15,gaze,
p16,nogaze,discard?
p17,nogaze,
p18,gaze,
p19,gaze,
p20,nogaze,
