subid,condition,keep,gender,age,exp.time,notes
020816_01,,,f,18-21,,
020916_01,,,f,18-21,,
020916_02,,,m,18-21,,
020916_03,,,m,18-21,,
021016_01,,,m,18-21,,
021016_02,,,f,18-21,,
021216_01,gaze,y,f,< 18,160.449,
021216_02,nogaze,y,m,18-21,160.35,
021616_01,nogaze,y,m,18-21,158.45,
021616_02,gaze,y,f,18-21,160.35,
021616_03,nogaze,y,f,18-21,158.517,
021616_04,gaze,y,f,18-21,160.749,
021716_01,gaze,y,m,18-21,160.45,
021916_01,nogaze,y,m,18-21,159.216,
021916_02,gaze,y,f,18-21,160.882,
021916_03,nogaze,y,f,18-21,158.85,
021916_04,gaze,y,f,18-21,160.816,
021916_05,nogaze,y,m,18-21,158.616,
021916_06,gaze,y,m,18-21,160.916,
021916_07,nogaze,y,m,18-21,158.817,
021916_08,gaze,y,f,18-21,160.616,
