t,stimulus,x,y,t.stim,subid
2.3,5c24dc9177d235c028e914f1b1373878_1920x1080.avi,0,1050,2.33333,ettest1-eye_data Samples.txt
2.333,5c24dc9177d235c028e914f1b1373878_1920x1080.avi,0,1050,2.36667,ettest1-eye_data Samples.txt
2.367,5c24dc9177d235c028e914f1b1373878_1920x1080.avi,0,1050,2.4,ettest1-eye_data Samples.txt
2.4,5c24dc9177d235c028e914f1b1373878_1920x1080.avi,0,1050,2.43333,ettest1-eye_data Samples.txt
2.433,5c24dc9177d235c028e914f1b1373878_1920x1080.avi,0,1050,2.46667,ettest1-eye_data Samples.txt
6.366,63c34d3a8c9fb074ee3cca74f178a718_1920x1080.avi,0,1050,1.76667,ettest1-eye_data Samples.txt
6.399,63c34d3a8c9fb074ee3cca74f178a718_1920x1080.avi,0,1050,1.8,ettest1-eye_data Samples.txt
6.433,63c34d3a8c9fb074ee3cca74f178a718_1920x1080.avi,0,1050,1.83333,ettest1-eye_data Samples.txt
6.466,63c34d3a8c9fb074ee3cca74f178a718_1920x1080.avi,0,1050,1.86667,ettest1-eye_data Samples.txt
10.732,9350959a01284089fb3f1e3eaad3fa87_1920x1080.avi,0,1050,1.66667,ettest1-eye_data Samples.txt
10.766,9350959a01284089fb3f1e3eaad3fa87_1920x1080.avi,0,1050,1.7,ettest1-eye_data Samples.txt
10.799,9350959a01284089fb3f1e3eaad3fa87_1920x1080.avi,0,1050,1.73333,ettest1-eye_data Samples.txt
18.165,69b2cb18a9617d9bfbf16fe9423b23f4_1920x1080.avi,0,1050,0.0333333,ettest1-eye_data Samples.txt
18.198,69b2cb18a9617d9bfbf16fe9423b23f4_1920x1080.avi,0,1050,0.0666667,ettest1-eye_data Samples.txt
18.231,69b2cb18a9617d9bfbf16fe9423b23f4_1920x1080.avi,0,1050,0.1,ettest1-eye_data Samples.txt
18.265,69b2cb18a9617d9bfbf16fe9423b23f4_1920x1080.avi,0,1050,0.133333,ettest1-eye_data Samples.txt
22.064,69b2cb18a9617d9bfbf16fe9423b23f4_1920x1080.avi,0,1050,3.93333,ettest1-eye_data Samples.txt
22.098,69b2cb18a9617d9bfbf16fe9423b23f4_1920x1080.avi,0,1050,3.96667,ettest1-eye_data Samples.txt
22.131,69b2cb18a9617d9bfbf16fe9423b23f4_1920x1080.avi,0,1050,4,ettest1-eye_data Samples.txt
22.164,69b2cb18a9617d9bfbf16fe9423b23f4_1920x1080.avi,0,1050,4.03333,ettest1-eye_data Samples.txt
29.064,8723d35ec83a4e6c30346d5d2b885801_1920x1080.avi,0,1050,2.06667,ettest1-eye_data Samples.txt
29.097,8723d35ec83a4e6c30346d5d2b885801_1920x1080.avi,0,1050,2.1,ettest1-eye_data Samples.txt
29.13,8723d35ec83a4e6c30346d5d2b885801_1920x1080.avi,0,1050,2.13333,ettest1-eye_data Samples.txt
29.164,8723d35ec83a4e6c30346d5d2b885801_1920x1080.avi,0,1050,2.16667,ettest1-eye_data Samples.txt
30.597,8723d35ec83a4e6c30346d5d2b885801_1920x1080.avi,0,1050,3.6,ettest1-eye_data Samples.txt
30.63,8723d35ec83a4e6c30346d5d2b885801_1920x1080.avi,0,1050,3.63333,ettest1-eye_data Samples.txt
34.33,8ff39d257ce5e41d712d32be5230030a_1920x1080.avi,0,1050,2.9,ettest1-eye_data Samples.txt
37.129,195310ba291af69fae67db9a9c5e3503_1920x1080.avi,0,1050,1.3,ettest1-eye_data Samples.txt
37.163,195310ba291af69fae67db9a9c5e3503_1920x1080.avi,0,1050,1.33333,ettest1-eye_data Samples.txt
37.196,195310ba291af69fae67db9a9c5e3503_1920x1080.avi,0,1050,1.36667,ettest1-eye_data Samples.txt
37.229,195310ba291af69fae67db9a9c5e3503_1920x1080.avi,0,1050,1.4,ettest1-eye_data Samples.txt
38.063,195310ba291af69fae67db9a9c5e3503_1920x1080.avi,0,1050,2.23333,ettest1-eye_data Samples.txt
38.096,195310ba291af69fae67db9a9c5e3503_1920x1080.avi,0,1050,2.26667,ettest1-eye_data Samples.txt
38.129,195310ba291af69fae67db9a9c5e3503_1920x1080.avi,0,1050,2.3,ettest1-eye_data Samples.txt
38.163,195310ba291af69fae67db9a9c5e3503_1920x1080.avi,0,1050,2.33333,ettest1-eye_data Samples.txt
41.396,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,1.13333,ettest1-eye_data Samples.txt
41.429,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,1.16667,ettest1-eye_data Samples.txt
41.462,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,1.2,ettest1-eye_data Samples.txt
41.496,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,1.23333,ettest1-eye_data Samples.txt
43.062,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,2.8,ettest1-eye_data Samples.txt
43.095,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,2.83333,ettest1-eye_data Samples.txt
43.129,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,2.86667,ettest1-eye_data Samples.txt
43.162,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,2.9,ettest1-eye_data Samples.txt
43.195,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,2.93333,ettest1-eye_data Samples.txt
44.095,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,3.83333,ettest1-eye_data Samples.txt
44.129,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,3.86667,ettest1-eye_data Samples.txt
44.162,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,3.9,ettest1-eye_data Samples.txt
44.195,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,3.93333,ettest1-eye_data Samples.txt
44.229,85c5fd197178779efd59a21522f524c5_1920x1080.avi,0,1050,3.96667,ettest1-eye_data Samples.txt
47.495,3e695b7f738926fa83f11b6a54f11fb5_1920x1080.avi,0,1050,2.73333,ettest1-eye_data Samples.txt
47.528,3e695b7f738926fa83f11b6a54f11fb5_1920x1080.avi,0,1050,2.76667,ettest1-eye_data Samples.txt
47.995,3e695b7f738926fa83f11b6a54f11fb5_1920x1080.avi,0,1050,3.23333,ettest1-eye_data Samples.txt
48.028,3e695b7f738926fa83f11b6a54f11fb5_1920x1080.avi,0,1050,3.26667,ettest1-eye_data Samples.txt
48.062,3e695b7f738926fa83f11b6a54f11fb5_1920x1080.avi,0,1050,3.3,ettest1-eye_data Samples.txt
48.095,3e695b7f738926fa83f11b6a54f11fb5_1920x1080.avi,0,1050,3.33333,ettest1-eye_data Samples.txt
48.162,3e695b7f738926fa83f11b6a54f11fb5_1920x1080.avi,0,1050,3.4,ettest1-eye_data Samples.txt
51.928,1ea4e64d6e4d8fcbc0325bfa2720e076_1920x1080.avi,0,1050,2.6,ettest1-eye_data Samples.txt
51.961,1ea4e64d6e4d8fcbc0325bfa2720e076_1920x1080.avi,0,1050,2.63333,ettest1-eye_data Samples.txt
51.995,1ea4e64d6e4d8fcbc0325bfa2720e076_1920x1080.avi,0,1050,2.66667,ettest1-eye_data Samples.txt
52.028,1ea4e64d6e4d8fcbc0325bfa2720e076_1920x1080.avi,0,1050,2.7,ettest1-eye_data Samples.txt
52.061,1ea4e64d6e4d8fcbc0325bfa2720e076_1920x1080.avi,0,1050,2.73333,ettest1-eye_data Samples.txt
53.028,1ea4e64d6e4d8fcbc0325bfa2720e076_1920x1080.avi,0,1050,3.7,ettest1-eye_data Samples.txt
53.061,1ea4e64d6e4d8fcbc0325bfa2720e076_1920x1080.avi,0,1050,3.73333,ettest1-eye_data Samples.txt
55.061,3c173928bf7ea9f28466456e469fe8f6_1920x1080.avi,0,1050,1.26667,ettest1-eye_data Samples.txt
55.094,3c173928bf7ea9f28466456e469fe8f6_1920x1080.avi,0,1050,1.3,ettest1-eye_data Samples.txt
55.127,3c173928bf7ea9f28466456e469fe8f6_1920x1080.avi,0,1050,1.33333,ettest1-eye_data Samples.txt
55.161,3c173928bf7ea9f28466456e469fe8f6_1920x1080.avi,0,1050,1.36667,ettest1-eye_data Samples.txt
55.194,3c173928bf7ea9f28466456e469fe8f6_1920x1080.avi,0,1050,1.4,ettest1-eye_data Samples.txt
60.527,ef924b8f7ab0742c2282881012493c55_1920x1080.avi,0,1050,2.3,ettest1-eye_data Samples.txt
60.56,ef924b8f7ab0742c2282881012493c55_1920x1080.avi,0,1050,2.33333,ettest1-eye_data Samples.txt
60.594,ef924b8f7ab0742c2282881012493c55_1920x1080.avi,0,1050,2.36667,ettest1-eye_data Samples.txt
64.127,4d794750d894b1a2b4b16f7748c3065d_1920x1080.avi,0,1050,1.43333,ettest1-eye_data Samples.txt
64.16,4d794750d894b1a2b4b16f7748c3065d_1920x1080.avi,0,1050,1.46667,ettest1-eye_data Samples.txt
64.193,4d794750d894b1a2b4b16f7748c3065d_1920x1080.avi,0,1050,1.5,ettest1-eye_data Samples.txt
64.227,4d794750d894b1a2b4b16f7748c3065d_1920x1080.avi,0,1050,1.53333,ettest1-eye_data Samples.txt
64.26,4d794750d894b1a2b4b16f7748c3065d_1920x1080.avi,0,1050,1.56667,ettest1-eye_data Samples.txt
69.659,5ab52a137bbc7d68ac7798cef58f09cb_1920x1080.avi,0,1050,2.36667,ettest1-eye_data Samples.txt
69.693,5ab52a137bbc7d68ac7798cef58f09cb_1920x1080.avi,0,1050,2.4,ettest1-eye_data Samples.txt
69.726,5ab52a137bbc7d68ac7798cef58f09cb_1920x1080.avi,0,1050,2.43333,ettest1-eye_data Samples.txt
69.759,5ab52a137bbc7d68ac7798cef58f09cb_1920x1080.avi,0,1050,2.46667,ettest1-eye_data Samples.txt
69.793,5ab52a137bbc7d68ac7798cef58f09cb_1920x1080.avi,0,1050,2.5,ettest1-eye_data Samples.txt
73.792,7b710d99eb621ef0a72ba3b5f47d3c62_1920x1080.avi,0,1050,2.03333,ettest1-eye_data Samples.txt
73.826,7b710d99eb621ef0a72ba3b5f47d3c62_1920x1080.avi,0,1050,2.06667,ettest1-eye_data Samples.txt
73.859,7b710d99eb621ef0a72ba3b5f47d3c62_1920x1080.avi,0,1050,2.1,ettest1-eye_data Samples.txt
73.892,7b710d99eb621ef0a72ba3b5f47d3c62_1920x1080.avi,0,1050,2.13333,ettest1-eye_data Samples.txt
74.392,7b710d99eb621ef0a72ba3b5f47d3c62_1920x1080.avi,0,1050,2.63333,ettest1-eye_data Samples.txt
74.425,7b710d99eb621ef0a72ba3b5f47d3c62_1920x1080.avi,0,1050,2.66667,ettest1-eye_data Samples.txt
74.459,7b710d99eb621ef0a72ba3b5f47d3c62_1920x1080.avi,0,1050,2.7,ettest1-eye_data Samples.txt
74.492,7b710d99eb621ef0a72ba3b5f47d3c62_1920x1080.avi,0,1050,2.73333,ettest1-eye_data Samples.txt
77.092,728db2b054c3d1304ac6a66165cb0b80_1920x1080.avi,0,1050,0.933333,ettest1-eye_data Samples.txt
77.125,728db2b054c3d1304ac6a66165cb0b80_1920x1080.avi,0,1050,0.966667,ettest1-eye_data Samples.txt
77.158,728db2b054c3d1304ac6a66165cb0b80_1920x1080.avi,0,1050,1,ettest1-eye_data Samples.txt
77.192,728db2b054c3d1304ac6a66165cb0b80_1920x1080.avi,0,1050,1.03333,ettest1-eye_data Samples.txt
77.658,728db2b054c3d1304ac6a66165cb0b80_1920x1080.avi,0,1050,1.5,ettest1-eye_data Samples.txt
77.692,728db2b054c3d1304ac6a66165cb0b80_1920x1080.avi,0,1050,1.53333,ettest1-eye_data Samples.txt
77.725,728db2b054c3d1304ac6a66165cb0b80_1920x1080.avi,0,1050,1.56667,ettest1-eye_data Samples.txt
77.758,728db2b054c3d1304ac6a66165cb0b80_1920x1080.avi,0,1050,1.6,ettest1-eye_data Samples.txt
77.792,728db2b054c3d1304ac6a66165cb0b80_1920x1080.avi,0,1050,1.63333,ettest1-eye_data Samples.txt
81.791,090377ceeb24fe42f0b74d558463cdbb_1920x1080.avi,0,1050,1.2,ettest1-eye_data Samples.txt
81.825,090377ceeb24fe42f0b74d558463cdbb_1920x1080.avi,0,1050,1.23333,ettest1-eye_data Samples.txt
81.858,090377ceeb24fe42f0b74d558463cdbb_1920x1080.avi,0,1050,1.26667,ettest1-eye_data Samples.txt
81.891,090377ceeb24fe42f0b74d558463cdbb_1920x1080.avi,0,1050,1.3,ettest1-eye_data Samples.txt
85.724,b7e02eb7667265246a7671214f7678e4_1920x1080.avi,0,1050,0.533333,ettest1-eye_data Samples.txt
85.758,b7e02eb7667265246a7671214f7678e4_1920x1080.avi,0,1050,0.566667,ettest1-eye_data Samples.txt
85.791,b7e02eb7667265246a7671214f7678e4_1920x1080.avi,0,1050,0.6,ettest1-eye_data Samples.txt
85.824,b7e02eb7667265246a7671214f7678e4_1920x1080.avi,0,1050,0.633333,ettest1-eye_data Samples.txt
89.99,fc001c1f01c2f8828c92b25d320ce460_1920x1080.avi,0,1050,0.333333,ettest1-eye_data Samples.txt
90.024,fc001c1f01c2f8828c92b25d320ce460_1920x1080.avi,0,1050,0.366667,ettest1-eye_data Samples.txt
91.957,fc001c1f01c2f8828c92b25d320ce460_1920x1080.avi,0,1050,2.3,ettest1-eye_data Samples.txt
91.99,fc001c1f01c2f8828c92b25d320ce460_1920x1080.avi,0,1050,2.33333,ettest1-eye_data Samples.txt
92.024,fc001c1f01c2f8828c92b25d320ce460_1920x1080.avi,0,1050,2.36667,ettest1-eye_data Samples.txt
92.057,fc001c1f01c2f8828c92b25d320ce460_1920x1080.avi,0,1050,2.4,ettest1-eye_data Samples.txt
92.09,fc001c1f01c2f8828c92b25d320ce460_1920x1080.avi,0,1050,2.43333,ettest1-eye_data Samples.txt
93.957,fc001c1f01c2f8828c92b25d320ce460_1920x1080.avi,0,1050,0,ettest1-eye_data Samples.txt
94.89,bc901ff396ef76b9a15b0873b806a707_1920x1080.avi,0,1050,0.666667,ettest1-eye_data Samples.txt
94.923,bc901ff396ef76b9a15b0873b806a707_1920x1080.avi,0,1050,0.7,ettest1-eye_data Samples.txt
94.957,bc901ff396ef76b9a15b0873b806a707_1920x1080.avi,0,1050,0.733333,ettest1-eye_data Samples.txt
94.99,bc901ff396ef76b9a15b0873b806a707_1920x1080.avi,0,1050,0.766667,ettest1-eye_data Samples.txt
95.59,bc901ff396ef76b9a15b0873b806a707_1920x1080.avi,0,1050,1.36667,ettest1-eye_data Samples.txt
95.623,bc901ff396ef76b9a15b0873b806a707_1920x1080.avi,0,1050,1.4,ettest1-eye_data Samples.txt
95.657,bc901ff396ef76b9a15b0873b806a707_1920x1080.avi,0,1050,1.43333,ettest1-eye_data Samples.txt
95.69,bc901ff396ef76b9a15b0873b806a707_1920x1080.avi,0,1050,1.46667,ettest1-eye_data Samples.txt
95.723,bc901ff396ef76b9a15b0873b806a707_1920x1080.avi,0,1050,1.5,ettest1-eye_data Samples.txt
95.756,bc901ff396ef76b9a15b0873b806a707_1920x1080.avi,0,1050,1.53333,ettest1-eye_data Samples.txt
99.589,7b3f72d3264160acd9cfd968bd8b2972_1920x1080.avi,0,1050,0.9,ettest1-eye_data Samples.txt
99.623,7b3f72d3264160acd9cfd968bd8b2972_1920x1080.avi,0,1050,0.933333,ettest1-eye_data Samples.txt
99.656,7b3f72d3264160acd9cfd968bd8b2972_1920x1080.avi,0,1050,0.966667,ettest1-eye_data Samples.txt
99.689,7b3f72d3264160acd9cfd968bd8b2972_1920x1080.avi,0,1050,1,ettest1-eye_data Samples.txt
101.523,7b3f72d3264160acd9cfd968bd8b2972_1920x1080.avi,0,1050,2.83333,ettest1-eye_data Samples.txt
101.556,7b3f72d3264160acd9cfd968bd8b2972_1920x1080.avi,0,1050,2.86667,ettest1-eye_data Samples.txt
101.589,7b3f72d3264160acd9cfd968bd8b2972_1920x1080.avi,0,1050,2.9,ettest1-eye_data Samples.txt
101.623,7b3f72d3264160acd9cfd968bd8b2972_1920x1080.avi,0,1050,2.93333,ettest1-eye_data Samples.txt
101.656,7b3f72d3264160acd9cfd968bd8b2972_1920x1080.avi,0,1050,2.96667,ettest1-eye_data Samples.txt
105.022,2551788d6aa340fa05d317c7440b10f6_1920x1080.avi,0,1050,1.73333,ettest1-eye_data Samples.txt
105.056,2551788d6aa340fa05d317c7440b10f6_1920x1080.avi,0,1050,1.76667,ettest1-eye_data Samples.txt
105.089,2551788d6aa340fa05d317c7440b10f6_1920x1080.avi,0,1050,1.8,ettest1-eye_data Samples.txt
105.122,2551788d6aa340fa05d317c7440b10f6_1920x1080.avi,0,1050,1.83333,ettest1-eye_data Samples.txt
105.156,2551788d6aa340fa05d317c7440b10f6_1920x1080.avi,0,1050,1.86667,ettest1-eye_data Samples.txt
105.189,2551788d6aa340fa05d317c7440b10f6_1920x1080.avi,0,1050,1.9,ettest1-eye_data Samples.txt
106.422,2551788d6aa340fa05d317c7440b10f6_1920x1080.avi,0,1050,3.13333,ettest1-eye_data Samples.txt
106.455,2551788d6aa340fa05d317c7440b10f6_1920x1080.avi,0,1050,3.16667,ettest1-eye_data Samples.txt
106.489,2551788d6aa340fa05d317c7440b10f6_1920x1080.avi,0,1050,3.2,ettest1-eye_data Samples.txt
106.522,2551788d6aa340fa05d317c7440b10f6_1920x1080.avi,0,1050,3.23333,ettest1-eye_data Samples.txt
106.555,2551788d6aa340fa05d317c7440b10f6_1920x1080.avi,0,1050,3.26667,ettest1-eye_data Samples.txt
108.889,f8d0319a8c8f026e37f6584be820695a_1920x1080.avi,0,1050,1.13333,ettest1-eye_data Samples.txt
108.922,f8d0319a8c8f026e37f6584be820695a_1920x1080.avi,0,1050,1.16667,ettest1-eye_data Samples.txt
108.955,f8d0319a8c8f026e37f6584be820695a_1920x1080.avi,0,1050,1.2,ettest1-eye_data Samples.txt
108.988,f8d0319a8c8f026e37f6584be820695a_1920x1080.avi,0,1050,1.23333,ettest1-eye_data Samples.txt
110.955,f8d0319a8c8f026e37f6584be820695a_1920x1080.avi,0,1050,3.2,ettest1-eye_data Samples.txt
110.988,f8d0319a8c8f026e37f6584be820695a_1920x1080.avi,0,1050,3.23333,ettest1-eye_data Samples.txt
111.022,f8d0319a8c8f026e37f6584be820695a_1920x1080.avi,0,1050,3.26667,ettest1-eye_data Samples.txt
111.055,f8d0319a8c8f026e37f6584be820695a_1920x1080.avi,0,1050,3.3,ettest1-eye_data Samples.txt
113.155,6e158c1a1867b500f3a157f7f928b8e3_1920x1080.avi,0,1050,0.966667,ettest1-eye_data Samples.txt
113.188,6e158c1a1867b500f3a157f7f928b8e3_1920x1080.avi,0,1050,1,ettest1-eye_data Samples.txt
113.221,6e158c1a1867b500f3a157f7f928b8e3_1920x1080.avi,0,1050,1.03333,ettest1-eye_data Samples.txt
113.255,6e158c1a1867b500f3a157f7f928b8e3_1920x1080.avi,0,1050,1.06667,ettest1-eye_data Samples.txt
113.821,6e158c1a1867b500f3a157f7f928b8e3_1920x1080.avi,0,1050,1.63333,ettest1-eye_data Samples.txt
113.855,6e158c1a1867b500f3a157f7f928b8e3_1920x1080.avi,0,1050,1.66667,ettest1-eye_data Samples.txt
113.888,6e158c1a1867b500f3a157f7f928b8e3_1920x1080.avi,0,1050,1.7,ettest1-eye_data Samples.txt
113.921,6e158c1a1867b500f3a157f7f928b8e3_1920x1080.avi,0,1050,1.73333,ettest1-eye_data Samples.txt
117.254,80fac479ce0071ae2def244fd1a0b624_1920x1080.avi,0,1050,0.633333,ettest1-eye_data Samples.txt
117.288,80fac479ce0071ae2def244fd1a0b624_1920x1080.avi,0,1050,0.666667,ettest1-eye_data Samples.txt
117.321,80fac479ce0071ae2def244fd1a0b624_1920x1080.avi,0,1050,0.7,ettest1-eye_data Samples.txt
117.354,80fac479ce0071ae2def244fd1a0b624_1920x1080.avi,0,1050,0.733333,ettest1-eye_data Samples.txt
117.388,80fac479ce0071ae2def244fd1a0b624_1920x1080.avi,0,1050,0.766667,ettest1-eye_data Samples.txt
118.321,80fac479ce0071ae2def244fd1a0b624_1920x1080.avi,0,1050,1.7,ettest1-eye_data Samples.txt
118.354,80fac479ce0071ae2def244fd1a0b624_1920x1080.avi,0,1050,1.73333,ettest1-eye_data Samples.txt
118.388,80fac479ce0071ae2def244fd1a0b624_1920x1080.avi,0,1050,1.76667,ettest1-eye_data Samples.txt
118.421,80fac479ce0071ae2def244fd1a0b624_1920x1080.avi,0,1050,1.8,ettest1-eye_data Samples.txt
119.054,80fac479ce0071ae2def244fd1a0b624_1920x1080.avi,0,1050,2.43333,ettest1-eye_data Samples.txt
119.087,80fac479ce0071ae2def244fd1a0b624_1920x1080.avi,0,1050,2.46667,ettest1-eye_data Samples.txt
119.121,80fac479ce0071ae2def244fd1a0b624_1920x1080.avi,0,1050,2.5,ettest1-eye_data Samples.txt
119.154,80fac479ce0071ae2def244fd1a0b624_1920x1080.avi,0,1050,2.53333,ettest1-eye_data Samples.txt
122.22,418293be3d9ffdbf88c35ae7635a445c_1920x1080.avi,0,1050,0.966667,ettest1-eye_data Samples.txt
122.254,418293be3d9ffdbf88c35ae7635a445c_1920x1080.avi,0,1050,1,ettest1-eye_data Samples.txt
122.287,418293be3d9ffdbf88c35ae7635a445c_1920x1080.avi,0,1050,1.03333,ettest1-eye_data Samples.txt
