## [iView]
## Converted from:	F:\gaze_xsit_01_full\pn16-[8ea6c455-7a46-494c-a99b-66236fcb945a]\pn16-eye_data.idf
## Date:	09.02.2016 16:23:04
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4415                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	pn16                                                                                                                                                                                                                                                            
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
1342201288	MSG	1	# Message: 8b86f09171cd2952482360b33cb50ebd_1920x1080.avi
1342229441	SMP	1	1516.94	763.82	1238.80	766.18	14.61	14.61	3.06	14.90	14.90	3.06	1508.77	762.91	1515.64	762.98	1231.22	765.46	1238.47	765.47	178.57	1146.75	181.35	1152.14	0	1	1	2	-1	-1	-36.82	-0.75	688.38	23.34	-1.28	677.47	-0.16	-0.04	-0.99	-0.21	-0.03	-0.98	0	 -1	
1342262717	SMP	1	1516.66	763.67	1238.61	766.19	14.82	14.82	3.06	14.92	14.92	3.05	1508.56	762.86	1515.47	762.89	1230.85	765.44	1238.37	765.44	188.50	1145.94	174.69	1154.49	0	1	1	2	-1	-1	-36.82	-0.74	689.12	23.31	-1.27	675.30	-0.16	-0.03	-0.99	-0.21	-0.03	-0.98	0	 -1	
1342296047	SMP	1	1516.63	763.65	1238.43	766.20	14.84	14.84	3.06	14.80	14.80	3.04	1508.42	762.68	1515.41	762.77	1230.72	765.33	1238.15	765.38	174.73	1149.98	171.68	1159.15	0	1	1	2	-1	-1	-36.80	-0.70	689.17	23.35	-1.25	675.24	-0.16	-0.04	-0.99	-0.21	-0.03	-0.98	0	 -1	
1342329363	SMP	1	1516.61	763.47	1238.39	765.81	14.91	14.91	3.06	14.90	14.90	3.04	1508.27	762.56	1515.44	762.55	1230.70	765.24	1237.97	765.30	169.80	1151.60	164.64	1150.24	0	1	1	2	-1	-1	-36.71	-0.67	687.81	23.42	-1.24	676.49	-0.16	-0.04	-0.99	-0.21	-0.02	-0.98	0	 -1	
1342362729	SMP	1	1515.26	761.62	1237.05	764.10	14.92	14.92	3.07	15.02	15.02	3.04	1507.42	761.47	1514.50	761.43	1229.95	763.97	1237.37	764.21	234.85	1058.13	248.08	1051.17	0	1	1	2	-1	-1	-36.57	-0.43	688.77	23.51	-0.98	675.22	-0.14	-0.01	-0.99	-0.18	0.00	-0.98	0	 -1	
1342396016	SMP	1	1508.11	754.00	1231.30	756.32	15.02	15.02	3.07	15.28	15.28	3.05	1503.05	757.44	1510.40	757.46	1226.84	759.90	1234.10	759.82	828.60	367.11	789.40	374.53	0	1	1	2	-1	-1	-35.51	0.45	686.10	24.24	-0.08	676.41	-0.01	0.15	-0.99	-0.07	0.16	-0.99	0	 -1	
1342429371	SMP	1	1508.78	753.43	1230.97	755.84	15.05	15.05	3.08	15.14	15.14	3.05	1503.72	757.26	1510.98	757.14	1226.63	759.51	1233.83	759.53	824.76	330.27	798.92	360.20	0	1	1	2	-1	-1	-35.64	0.50	686.04	24.32	0.00	677.28	-0.01	0.17	-0.99	-0.07	0.16	-0.98	0	 -1	
1342462679	SMP	1	1509.29	752.94	1231.20	755.59	15.28	15.28	3.09	15.67	15.67	3.08	1504.47	756.53	1511.51	756.50	1226.83	759.16	1234.17	759.16	831.59	338.96	803.75	364.22	0	1	1	2	-1	-1	-35.89	0.65	688.23	24.24	0.07	676.47	-0.01	0.16	-0.99	-0.06	0.16	-0.99	0	 -1	
1342496010	SMP	1	1510.02	752.47	1231.43	754.98	15.38	15.38	3.11	15.42	15.42	3.09	1505.08	756.29	1512.33	756.16	1227.42	758.52	1234.46	758.49	834.33	327.05	819.95	365.16	0	1	1	2	-1	-1	-35.94	0.71	686.14	24.26	0.21	679.66	-0.01	0.17	-0.99	-0.06	0.15	-0.99	0	 -1	
