## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\gaze_xsit_01\081105-[b8f0085f-d0f7-42bc-be97-3d2e5bace947]\081105-eye_data.idf
## Date:	11.08.2015 15:32:17
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4469                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	081105                                                                                                                                                                                                                                                          
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
18220723640	MSG	1	# Message: 5c24dc9177d235c028e914f1b1373878_1920x1080.avi
18220742759	SMP	1	1627.52	1033.46	1351.77	1056.55	10.90	10.90	2.40	10.91	10.91	2.33	0.00	0.00	1625.70	1035.92	1344.32	1058.74	1350.72	1058.84	79.94	749.50	79.94	749.50	0	1	1	2	-1	-1	-63.98	-63.41	723.29	-0.92	-68.79	724.75	-0.15	0.20	-0.97	-0.20	0.20	-0.96	0	 -1	
18220776086	SMP	1	1626.58	1033.25	1350.49	1056.13	10.80	10.80	2.39	10.56	10.56	2.33	1618.31	1035.38	1625.08	1035.67	1343.47	1058.68	1349.94	1058.64	114.71	755.19	114.71	755.19	0	1	1	2	-1	-1	-63.12	-62.64	715.61	-0.73	-68.69	724.07	-0.14	0.19	-0.97	-0.18	0.21	-0.96	0	 -1	
18220810461	SMP	1	1620.37	1032.15	1344.33	1054.54	10.43	10.43	2.36	9.80	9.80	2.29	1614.80	1035.03	1621.73	1035.05	1340.04	1058.12	1346.69	1058.21	692.10	617.08	692.10	617.08	0	1	1	2	-1	-1	-61.62	-61.80	707.26	0.03	-68.38	722.00	-0.01	0.22	-0.98	-0.04	0.26	-0.96	0	 -1	
18220842743	SMP	1	1619.06	1032.26	1343.04	1054.72	10.99	10.99	2.36	10.26	10.26	2.28	1613.80	1034.94	1620.53	1034.87	1339.25	1058.02	1345.98	1057.98	741.94	656.77	741.94	656.77	0	1	1	2	-1	-1	-61.58	-61.99	709.73	0.20	-68.07	719.01	0.00	0.21	-0.98	-0.02	0.24	-0.97	0	 -1	
18220876068	SMP	1	1618.55	1032.32	1342.92	1054.87	10.84	10.84	2.35	10.26	10.26	2.27	1613.65	1034.92	1620.43	1034.84	1339.02	1058.09	1345.71	1058.08	767.21	666.03	767.21	666.03	0	1	1	2	-1	-1	-61.29	-61.72	706.69	0.26	-67.96	717.66	0.01	0.20	-0.98	-0.03	0.24	-0.97	0	 -1	
18220909414	SMP	1	1618.47	1031.92	1342.48	1054.90	10.63	10.63	2.34	9.98	9.98	2.25	1613.50	1034.74	1620.18	1034.69	1338.77	1058.18	1345.50	1058.18	774.11	650.86	774.11	650.86	0	1	1	2	-1	-1	-61.33	-61.76	707.63	0.31	-67.76	715.40	0.01	0.21	-0.98	-0.02	0.24	-0.97	0	 -1	
18220942753	SMP	1	1617.67	1030.61	1341.71	1053.63	10.90	10.90	2.33	10.19	10.19	2.24	1612.95	1033.99	1619.65	1034.09	1338.41	1057.52	1345.01	1057.57	813.49	551.35	813.49	551.35	0	1	1	2	-1	-1	-61.10	-61.51	706.41	0.41	-67.70	716.24	0.02	0.24	-0.97	0.00	0.27	-0.96	0	 -1	
18220976070	SMP	1	1615.82	1028.09	1340.84	1051.27	10.82	10.82	2.33	10.46	10.46	2.24	1611.82	1032.51	1618.53	1032.73	1337.71	1056.02	1344.45	1056.09	911.00	349.48	911.00	349.48	0	1	1	2	-1	-1	-60.79	-61.13	705.72	0.55	-67.03	712.72	0.05	0.29	-0.96	0.01	0.31	-0.95	0	 -1	
18221009490	SMP	1	1615.78	1028.09	1340.42	1051.81	10.76	10.76	2.32	10.57	10.57	2.25	1611.60	1032.63	1618.44	1032.75	1337.46	1056.48	1344.00	1056.52	914.44	350.32	914.44	350.32	0	1	1	2	-1	-1	-60.56	-60.94	703.43	0.63	-67.34	714.96	0.05	0.29	-0.96	0.01	0.31	-0.95	0	 -1	
