## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\gaze_xsit_01\p1-[6f2e482b-8e29-43c1-9dbd-a159d883378f]\p1-eye_data.idf
## Date:	14.07.2015 14:37:13
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4468                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	p1                                                                                                                                                                                                                                                              
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
### [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2753048308	MSG	1	# Message: 5c24dc9177d235c028e914f1b1373878_1920x1080.avi
2753074479	SMP	1	1656.65	1035.06	1390.62	1046.44	14.03	14.03	2.92	13.74	13.74	2.80	1649.37	1036.58	1656.65	1036.70	1385.80	1046.91	1393.01	1047.11	532.64	762.85	532.64	762.85	0	1	1	2	-1	-1	-67.43	-60.39	687.13	-9.98	-62.54	685.94	-0.07	0.16	-0.99	-0.04	0.12	-0.99	0	 -1	
2753107819	SMP	1	1656.97	1035.04	1390.50	1046.34	14.06	14.06	2.93	13.74	13.74	2.81	1649.91	1036.60	1656.83	1036.69	1386.32	1046.82	1393.31	1046.99	553.13	757.98	553.13	757.98	0	1	1	2	-1	-1	-68.01	-60.84	692.18	-10.09	-62.64	687.21	-0.07	0.16	-0.99	-0.02	0.12	-0.99	0	 -1	
2753141143	SMP	1	1654.40	1034.82	1387.65	1046.13	14.07	14.07	2.92	13.31	13.31	2.80	1648.30	1036.26	1655.66	1036.56	1385.30	1046.78	1392.28	1046.84	827.76	753.61	827.76	753.61	0	1	1	2	-1	-1	-66.90	-60.06	683.97	-9.87	-62.65	687.61	-0.01	0.16	-0.99	0.06	0.12	-0.99	0	 -1	
2753174508	SMP	1	1653.82	1034.85	1386.82	1046.06	14.07	14.07	2.92	13.32	13.32	2.79	1648.13	1036.19	1655.56	1036.46	1384.88	1046.57	1391.94	1046.87	884.06	753.34	884.06	753.34	0	1	1	2	-1	-1	-66.53	-59.74	680.49	-9.79	-62.60	687.25	0.01	0.15	-0.99	0.08	0.12	-0.99	0	 -1	
2753207801	SMP	1	1654.10	1034.89	1387.09	1046.24	13.87	13.87	2.91	13.31	13.31	2.78	1648.38	1036.45	1655.74	1036.63	1385.10	1046.63	1392.15	1046.97	885.64	750.22	885.64	750.22	0	1	1	2	-1	-1	-66.52	-59.74	679.92	-9.83	-62.62	687.33	0.00	0.16	-0.99	0.08	0.12	-0.99	0	 -1	
2753241130	SMP	1	1654.53	1035.02	1387.48	1046.33	13.96	13.96	2.90	13.33	13.33	2.78	1648.98	1036.74	1656.11	1036.80	1385.45	1046.87	1392.46	1047.05	886.97	745.78	886.97	745.78	0	1	1	2	-1	-1	-66.96	-60.09	683.34	-9.91	-62.69	687.71	0.01	0.16	-0.99	0.08	0.12	-0.99	0	 -1	
2753274469	SMP	1	1654.88	1035.10	1387.69	1046.32	13.87	13.87	2.89	13.22	13.22	2.77	1649.10	1036.80	1656.49	1036.81	1385.62	1046.88	1392.82	1047.06	886.89	744.92	886.89	744.92	0	1	1	2	-1	-1	-66.52	-59.65	678.31	-9.96	-62.62	686.84	0.00	0.16	-0.99	0.08	0.12	-0.99	0	 -1	
2753307790	SMP	1	1654.81	1035.27	1387.91	1046.50	13.80	13.80	2.88	13.33	13.33	2.77	1649.12	1036.91	1656.57	1036.95	1385.71	1047.09	1392.96	1047.19	887.68	744.57	887.68	744.57	0	1	1	2	-1	-1	-66.31	-59.49	676.12	-9.97	-62.58	685.99	0.01	0.16	-0.99	0.08	0.12	-0.99	0	 -1	
2753341131	SMP	1	1650.13	1034.74	1384.75	1045.88	13.90	13.90	2.88	13.26	13.26	2.76	1646.94	1036.46	1654.02	1036.62	1384.34	1046.70	1391.33	1047.01	1214.02	734.66	1214.02	734.66	0	1	1	2	-1	-1	-66.30	-59.85	681.15	-9.66	-62.65	687.52	0.11	0.17	-0.98	0.15	0.13	-0.98	0	 -1	
