## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\gaze_xsit_01\081006-[4dc6f0aa-dab0-4984-8cb4-0f8653db6ef1]\081006-eye_data.idf
## Date:	10.08.2015 14:11:27
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4416                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	081006                                                                                                                                                                                                                                                          
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
11323782639	SMP	1	1834.20	1118.43	1569.99	1108.22	13.06	13.06	2.62	13.54	13.54	2.66	1830.97	1124.90	1838.78	1125.17	1568.42	1113.84	1575.92	1113.93	1123.87	508.20	1123.87	508.20	0	1	1	2	-1	-1	-101.55	-75.56	651.84	-47.85	-74.17	659.93	0.16	0.38	-0.91	0.16	0.35	-0.93	0		
11340557916	MSG	1	# Message: 8b86f09171cd2952482360b33cb50ebd_1920x1080.avi
11340581064	SMP	1	0.00	0.00	1489.30	1088.10	0.00	0.00	0.00	12.43	12.43	2.54	0.00	0.00	0.00	0.00	1484.11	1092.60	1491.93	1093.00	584.56	729.72	584.56	729.72	0	0	1	1	-1	-1	0.00	0.00	0.00	-30.52	-70.41	666.15	0.00	0.00	0.00	-0.01	0.30	-0.95	0	 -1	
11340614415	SMP	1	1753.27	1085.91	1489.05	1088.07	12.57	12.57	2.55	12.48	12.48	2.53	1746.87	1091.38	1754.62	1091.72	1483.77	1092.69	1491.67	1092.92	591.00	700.43	591.00	700.43	0	1	1	2	-1	-1	-86.82	-70.81	672.40	-30.31	-70.06	662.85	0.01	0.34	-0.94	-0.01	0.30	-0.95	0	 -1	
11340647688	SMP	1	1753.41	1085.86	1488.79	1088.17	12.60	12.60	2.55	12.71	12.71	2.53	1746.69	1091.25	1754.66	1091.69	1483.63	1092.53	1491.49	1092.82	590.30	738.29	590.30	738.29	0	1	1	2	-1	-1	-84.81	-69.16	656.95	-30.21	-69.88	661.33	0.00	0.34	-0.94	-0.01	0.29	-0.96	0	 -1	
11340681140	SMP	1	1753.31	1085.85	1488.74	1088.01	12.46	12.46	2.55	12.60	12.60	2.53	1747.17	1091.58	1754.65	1091.74	1483.62	1092.52	1491.46	1092.75	597.43	690.43	597.43	690.43	0	1	1	2	-1	-1	-87.06	-71.00	674.00	-30.14	-69.74	660.08	0.01	0.35	-0.94	-0.01	0.30	-0.95	0	 -1	
11340714398	SMP	1	1751.19	1084.57	1486.64	1086.87	12.68	12.68	2.54	12.63	12.63	2.53	1745.52	1090.78	1753.50	1091.28	1482.76	1092.30	1490.49	1092.41	763.08	583.80	763.08	583.80	0	1	1	2	-1	-1	-84.19	-68.76	653.99	-29.97	-69.73	660.53	0.04	0.37	-0.93	0.04	0.33	-0.94	0	 -1	
11340747677	SMP	1	1746.65	1080.74	1484.29	1082.92	12.67	12.67	2.55	12.74	12.74	2.53	1742.86	1088.81	1750.35	1089.08	1481.56	1090.10	1488.88	1089.77	953.18	258.98	953.18	258.98	0	1	1	2	-1	-1	-85.61	-69.98	669.80	-29.93	-69.79	666.04	0.11	0.45	-0.89	0.08	0.40	-0.91	0	 -1	
11340781014	SMP	1	1747.16	1080.75	1483.79	1082.73	12.83	12.83	2.56	12.90	12.90	2.54	1743.25	1088.88	1750.55	1088.99	1481.23	1090.14	1488.71	1090.13	955.12	235.41	955.12	235.41	0	1	1	2	-1	-1	-86.32	-70.51	674.92	-29.79	-69.63	664.08	0.10	0.45	-0.89	0.09	0.41	-0.91	0	 -1	
11340814335	SMP	1	1747.29	1080.88	1483.60	1083.03	12.85	12.85	2.58	12.96	12.96	2.55	1743.52	1088.97	1750.81	1089.14	1481.01	1090.23	1488.66	1090.24	962.72	243.22	962.72	243.22	0	1	1	2	-1	-1	-86.33	-70.50	674.51	-29.66	-69.41	661.78	0.10	0.45	-0.89	0.09	0.40	-0.91	0	 -1	
