## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\gaze_xsit_01\051716_09-[81e792b8-edb7-4dbb-86d5-d5ea496ded49]\051716_09-eye_data.idf
## Date:	17.05.2016 12:29:14
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4468                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	051716_09                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
8891257111	SMP	1	1638.18	644.59	1412.74	649.27	16.21	16.21	3.86	15.13	15.13	3.59	1634.22	646.33	1639.55	646.42	1409.42	651.29	1414.53	651.36	974.82	561.47	459.06	587.26	0	1	1	2	-1	-1	-74.20	28.62	797.64	-17.53	27.69	807.13	0.02	0.06	-1.00	-0.02	0.07	-1.00	0	 -1	
8904272861	MSG	1	# Message: 5c24dc9177d235c028e914f1b1373878_1920x1080.avi
8904289824	SMP	1	1629.36	624.39	1402.34	622.61	15.92	15.92	3.57	13.79	13.79	3.30	1625.62	627.37	1631.04	627.15	1398.62	626.09	1403.92	626.10	751.86	407.24	691.87	322.68	0	1	1	2	-1	-1	-70.71	32.83	782.93	-14.77	34.11	806.25	0.04	0.10	-0.99	-0.04	0.14	-0.99	0	 -1	
8904322428	SMP	1	1629.62	624.19	1402.28	622.90	15.53	15.53	3.58	14.11	14.11	3.32	1625.68	627.34	1631.24	627.19	1398.57	626.09	1403.71	626.19	745.19	387.88	687.77	340.68	0	1	1	2	-1	-1	-70.54	32.74	780.65	-14.80	34.25	809.93	0.03	0.11	-0.99	-0.04	0.13	-0.99	0	 -1	
8904355706	SMP	1	1629.48	624.29	1402.18	623.01	15.75	15.75	3.60	14.16	14.16	3.34	1625.76	627.39	1631.42	627.25	1398.53	626.18	1403.65	626.28	763.28	391.84	688.86	348.29	0	1	1	2	-1	-1	-70.37	32.63	778.49	-14.80	34.26	810.67	0.04	0.11	-0.99	-0.04	0.13	-0.99	0	 -1	
8904389033	SMP	1	1629.68	624.23	1402.19	622.95	15.54	15.54	3.61	14.20	14.20	3.36	1625.87	627.41	1631.47	627.29	1398.54	626.22	1403.61	626.32	761.14	385.25	687.98	343.04	0	1	1	2	-1	-1	-70.37	32.61	778.20	-14.82	34.30	811.88	0.04	0.12	-0.99	-0.04	0.13	-0.99	0	 -1	
8904422379	SMP	1	1629.92	624.17	1402.19	622.96	15.48	15.48	3.61	14.13	14.13	3.38	1625.99	627.42	1631.54	627.31	1398.56	626.32	1403.62	626.33	753.17	376.99	688.25	339.34	0	1	1	2	-1	-1	-70.43	32.63	778.68	-14.83	34.30	812.09	0.03	0.12	-0.99	-0.04	0.13	-0.99	0	 -1	
8904455691	SMP	1	1629.57	624.40	1402.02	623.23	15.52	15.52	3.62	14.45	14.45	3.40	1625.93	627.45	1631.52	627.36	1398.50	626.38	1403.57	626.37	771.59	387.26	692.67	351.90	0	1	1	2	-1	-1	-70.33	32.58	777.69	-14.82	34.29	812.33	0.05	0.11	-0.99	-0.03	0.12	-0.99	0	 -1	
8904489016	SMP	1	1627.37	623.90	1399.98	622.40	15.54	15.54	3.62	13.76	13.76	3.40	1624.69	627.27	1630.15	627.08	1397.51	626.13	1402.56	626.28	994.93	365.92	963.10	254.44	0	1	1	2	-1	-1	-70.13	32.69	779.04	-14.57	34.35	812.70	0.09	0.12	-0.99	0.02	0.16	-0.99	0	 -1	
8904522352	SMP	1	1627.55	623.98	1400.00	622.70	15.40	15.40	3.62	14.04	14.04	3.40	1624.96	627.44	1630.51	627.33	1397.55	626.17	1402.66	626.26	1010.87	340.31	967.84	318.33	0	1	1	2	-1	-1	-70.15	32.61	778.38	-14.57	34.32	811.85	0.10	0.13	-0.99	0.02	0.14	-0.99	0	 -1	
8904555678	SMP	1	1627.66	623.98	1400.06	622.64	15.41	15.41	3.62	14.05	14.05	3.40	1625.01	627.42	1630.54	627.24	1397.56	626.08	1402.68	626.23	1009.43	337.95	965.69	313.67	0	1	1	2	-1	-1	-70.18	32.64	778.61	-14.57	34.31	811.32	0.09	0.13	-0.99	0.02	0.14	-0.99	0	 -1	
8904589007	SMP	1	1627.66	623.53	1400.15	622.72	15.28	15.28	3.61	14.21	14.21	3.41	1624.98	627.13	1630.45	627.05	1397.53	625.96	1402.68	626.13	1005.09	295.95	957.37	332.92	0	1	1	2	-1	-1	-70.23	32.72	779.32	-14.55	34.32	810.80	0.09	0.14	-0.99	0.02	0.13	-0.99	0	 -1	
8904622358	SMP	1	1627.62	623.46	1399.95	622.54	15.23	15.23	3.61	14.15	14.15	3.42	1624.98	627.04	1630.43	626.83	1397.54	625.82	1402.68	625.92	1004.63	298.88	965.34	332.88	0	1	1	2	-1	-1	-70.28	32.79	779.91	-14.55	34.34	810.37	0.09	0.13	-0.99	0.03	0.13	-0.99	0	 -1	
8904655684	SMP	1	1627.63	623.40	1400.13	622.63	15.15	15.15	3.60	14.25	14.25	3.43	1625.02	627.14	1630.48	627.02	1397.56	625.92	1402.69	626.03	1005.39	259.03	959.63	333.58	0	1	1	2	-1	-1	-70.32	32.76	780.14	-14.55	34.31	810.12	0.09	0.14	-0.99	0.02	0.13	-0.99	0	 -1	
8904688995	SMP	1	1627.88	623.88	1400.42	622.83	15.62	15.62	3.61	14.17	14.17	3.43	1625.11	627.34	1630.57	627.21	1397.61	626.12	1403.02	626.29	999.11	298.68	951.02	332.84	0	1	1	2	-1	-1	-70.36	32.72	780.34	-14.51	34.05	805.44	0.08	0.13	-0.99	0.01	0.13	-0.99	0	 -1	
8904722328	SMP	1	1627.82	623.89	1400.42	622.83	15.68	15.68	3.63	14.05	14.05	3.42	1625.13	627.41	1630.61	627.29	1397.75	626.24	1403.14	626.35	999.74	284.22	954.62	323.80	0	1	1	2	-1	-1	-70.35	32.70	780.21	-14.51	33.94	803.50	0.09	0.13	-0.99	0.02	0.14	-0.99	0	 -1	
8904755664	SMP	1	1627.70	624.27	1400.49	623.48	15.52	15.52	3.63	14.80	14.80	3.45	1625.06	627.48	1630.59	627.37	1397.83	626.47	1403.18	626.51	1002.03	324.01	952.83	374.97	0	1	1	2	-1	-1	-70.32	32.67	779.97	-14.51	33.85	802.58	0.09	0.12	-0.99	0.02	0.11	-0.99	0	 -1	
8904788984	SMP	1	1627.77	624.40	1400.22	623.37	15.61	15.61	3.64	14.60	14.60	3.46	1624.97	627.58	1630.49	627.41	1397.68	626.52	1402.92	626.52	997.74	337.00	955.12	362.68	0	1	1	2	-1	-1	-70.27	32.64	779.68	-14.49	33.92	804.29	0.09	0.11	-0.99	0.02	0.12	-0.99	0	 -1	
8904822337	SMP	1	1627.42	624.32	1400.02	623.43	15.85	15.85	3.65	14.73	14.73	3.48	1624.76	627.65	1630.30	627.44	1397.52	626.47	1402.63	626.53	1000.61	314.92	954.80	376.27	0	1	1	2	-1	-1	-70.19	32.61	779.32	-14.47	34.02	806.60	0.09	0.12	-0.99	0.02	0.12	-0.99	0	 -1	
8904855665	SMP	1	1627.27	624.42	1399.99	623.40	15.91	15.91	3.67	14.81	14.81	3.50	1624.56	627.78	1629.85	627.51	1397.42	626.56	1402.54	626.53	995.50	315.15	951.34	370.88	0	1	1	2	-1	-1	-70.34	32.70	781.93	-14.44	34.01	806.60	0.08	0.12	-0.99	0.02	0.12	-0.99	0	 -1	
8904888977	SMP	1	1627.09	624.38	1399.66	623.41	15.96	15.96	3.69	14.67	14.67	3.51	1624.32	627.75	1629.59	627.45	1397.22	626.56	1402.41	626.58	988.35	317.25	955.63	374.42	0	1	1	2	-1	-1	-70.48	32.80	784.21	-14.38	33.95	805.41	0.08	0.12	-0.99	0.03	0.12	-0.99	0	 -1	
8904922313	SMP	1	1626.78	624.53	1399.47	623.56	16.20	16.20	3.71	14.86	14.86	3.52	1624.03	627.78	1629.52	627.49	1396.84	626.74	1402.26	626.85	989.30	335.77	954.28	373.14	0	1	1	2	-1	-1	-70.28	32.72	782.43	-14.22	33.68	800.28	0.09	0.12	-0.99	0.02	0.13	-0.99	0	 -1	
8904955641	SMP	1	1626.54	624.55	1399.24	623.68	16.41	16.41	3.74	15.01	15.01	3.54	1623.65	627.88	1629.22	627.67	1396.56	626.96	1401.71	627.10	983.65	329.63	948.70	361.01	0	1	1	2	-1	-1	-70.11	32.65	781.49	-14.19	33.80	804.48	0.08	0.12	-0.99	0.01	0.13	-0.99	0	 -1	
8904988972	SMP	1	1626.41	624.65	1399.02	623.64	16.62	16.62	3.77	14.66	14.66	3.54	1623.47	627.88	1628.72	627.61	1396.45	627.07	1401.49	627.28	967.80	341.32	946.50	337.22	0	1	1	2	-1	-1	-70.43	32.84	786.00	-14.18	33.84	806.44	0.07	0.12	-0.99	0.01	0.14	-0.99	0	 -1	
8905022316	SMP	1	1626.35	624.48	1399.07	624.05	16.42	16.42	3.79	15.17	15.17	3.56	1623.26	627.81	1628.58	627.49	1396.32	627.23	1401.45	627.38	945.72	338.39	937.54	368.18	0	1	1	2	-1	-1	-70.41	32.88	786.25	-14.15	33.77	805.46	0.07	0.12	-0.99	0.01	0.13	-0.99	0	 -1	
