## [iView]
## Converted from:	F:\results\gaze_xsit_01\021916_07-[40d6f96a-ee7b-4ea6-9dc3-7597659c24fe]\021916_07-eye_data.idf
## Date:	19.02.2016 17:31:27
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4423                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	021916_07                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
6506118941	MSG	1	# Message: 8b86f09171cd2952482360b33cb50ebd_1920x1080.avi
6506137323	SMP	1	1407.55	730.34	1149.47	723.77	13.27	13.27	2.95	12.45	12.45	2.75	1399.02	731.41	1405.46	731.47	1142.62	725.41	1148.75	725.43	120.23	799.76	113.18	770.97	0	1	1	2	-1	-1	-13.65	6.52	732.77	45.94	7.92	732.52	-0.23	0.04	-0.97	-0.24	0.07	-0.97	0	 -1	
6506170732	SMP	1	1407.46	730.25	1149.16	723.81	13.25	13.25	2.94	12.38	12.38	2.75	1398.97	731.40	1405.37	731.47	1142.54	725.41	1148.51	725.47	118.26	796.00	113.43	773.92	0	1	1	2	-1	-1	-13.64	6.53	733.14	46.27	7.96	737.14	-0.23	0.05	-0.97	-0.23	0.07	-0.97	0	 -1	
6506203971	SMP	1	1407.26	730.23	1149.02	723.92	13.26	13.26	2.94	12.40	12.40	2.75	1398.93	731.38	1405.07	731.43	1142.35	725.40	1148.49	725.48	114.79	797.83	112.45	791.29	0	1	1	2	-1	-1	-13.68	6.57	737.60	46.14	7.94	734.71	-0.23	0.05	-0.97	-0.23	0.06	-0.97	0	 -1	
6506237300	SMP	1	1407.22	730.18	1148.83	723.81	13.28	13.28	2.94	12.41	12.41	2.74	1398.94	731.37	1404.75	731.39	1142.04	725.38	1148.48	725.48	104.67	796.87	116.25	787.93	0	1	1	2	-1	-1	-13.79	6.65	745.21	45.73	7.86	727.54	-0.24	0.05	-0.97	-0.23	0.07	-0.97	0	 -1	
6506270630	SMP	1	1406.72	730.13	1148.44	723.83	13.31	13.31	2.95	12.59	12.59	2.74	1398.46	731.16	1404.52	731.41	1141.63	725.37	1148.01	725.38	106.18	800.84	112.02	793.55	0	1	1	2	-1	-1	-13.62	6.63	740.86	45.88	7.88	728.31	-0.23	0.05	-0.97	-0.23	0.06	-0.97	0	 -1	
6506303958	SMP	1	1399.45	725.95	1142.09	719.36	13.64	13.64	2.96	12.21	12.21	2.73	1393.77	728.65	1400.22	728.71	1138.50	723.30	1144.79	723.24	700.30	453.80	770.39	330.02	0	1	1	2	-1	-1	-12.44	7.17	733.33	46.73	8.39	730.12	-0.10	0.12	-0.99	-0.08	0.17	-0.98	0	 -1	
6506337307	SMP	1	1398.08	724.75	1140.72	718.67	13.61	13.61	2.97	12.11	12.11	2.72	1393.54	728.43	1399.55	728.44	1137.96	722.96	1144.34	723.11	881.44	230.12	934.03	271.79	0	1	1	2	-1	-1	-12.48	7.31	741.85	46.69	8.42	727.66	-0.06	0.17	-0.98	-0.04	0.19	-0.98	0	 -1	
6506370640	SMP	1	1398.42	725.00	1140.84	718.80	13.37	13.37	2.97	12.04	12.04	2.70	1393.57	728.46	1399.77	728.55	1137.73	723.05	1144.27	723.13	856.08	259.39	898.19	278.19	0	1	1	2	-1	-1	-12.45	7.26	738.27	46.50	8.36	724.22	-0.07	0.16	-0.99	-0.05	0.19	-0.98	0	 -1	
6506403969	SMP	1	1398.70	725.42	1140.95	718.87	13.85	13.85	2.98	12.09	12.09	2.69	1393.62	728.51	1400.21	728.60	1137.74	723.02	1144.30	723.10	846.17	381.84	880.14	288.76	0	1	1	2	-1	-1	-12.34	7.15	728.74	46.41	8.35	722.90	-0.07	0.14	-0.99	-0.06	0.18	-0.98	0	 -1	
