## [iView]
## Converted from:	F:\results\gaze_xsit_01\021616_01-[474700d7-f677-4828-a551-92d9c766e489]\021616_01-eye_data.idf
## Date:	16.02.2016 16:15:16
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4422                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	021616_01                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
502171769	MSG	1	# Message: 8b86f09171cd2952482360b33cb50ebd_1920x1080.avi
502179342	SMP	1	1514.28	972.96	1253.64	987.19	14.26	14.26	3.04	15.33	15.33	3.26	1509.68	976.62	1516.48	976.59	1251.33	991.25	1257.75	991.13	916.37	471.60	921.76	443.82	0	1	1	2	-1	-1	-38.05	-48.73	707.69	20.19	-52.60	715.86	0.00	0.23	-0.97	0.02	0.26	-0.97	0	 -1	
502212756	SMP	1	1514.33	973.15	1253.82	986.92	14.32	14.32	3.04	15.14	15.14	3.26	1509.83	976.65	1516.54	976.64	1251.52	991.37	1258.10	991.14	918.27	485.48	926.66	417.89	0	1	1	2	-1	-1	-38.09	-48.75	707.98	20.10	-52.53	714.69	0.00	0.23	-0.97	0.02	0.27	-0.96	0	 -1	
502245948	SMP	1	1514.77	973.13	1254.21	987.00	14.37	14.37	3.05	15.14	15.14	3.26	1510.30	976.65	1516.76	976.73	1251.66	991.20	1258.30	991.07	914.30	485.67	920.49	430.15	0	1	1	2	-1	-1	-38.34	-48.98	711.18	20.04	-52.45	713.97	-0.01	0.23	-0.97	0.01	0.26	-0.97	0	 -1	
502279281	SMP	1	1514.99	973.17	1254.46	986.97	14.21	14.21	3.05	15.16	15.16	3.26	1510.52	976.87	1517.02	976.94	1251.91	990.98	1258.54	990.81	915.94	478.59	916.13	442.77	0	1	1	2	-1	-1	-38.43	-49.07	711.76	19.97	-52.37	713.64	-0.01	0.24	-0.97	0.01	0.25	-0.97	0	 -1	
502312618	SMP	1	1515.07	973.24	1254.61	987.14	14.26	14.26	3.05	15.50	15.50	3.27	1510.61	977.02	1517.29	977.02	1252.16	990.93	1258.69	990.82	919.52	473.94	914.76	459.37	0	1	1	2	-1	-1	-38.38	-48.99	710.13	19.95	-52.43	714.55	0.00	0.24	-0.97	0.01	0.24	-0.97	0	 -1	
502345947	SMP	1	1515.28	972.77	1254.86	986.34	14.30	14.30	3.05	15.39	15.39	3.28	1510.68	976.67	1517.48	976.65	1252.50	990.48	1259.09	990.49	917.46	466.77	919.50	425.06	0	1	1	2	-1	-1	-38.31	-48.78	708.35	19.86	-52.33	714.32	0.00	0.24	-0.97	0.02	0.26	-0.96	0	 -1	
502379389	SMP	1	1514.97	971.82	1254.74	985.33	14.34	14.34	3.05	15.23	15.23	3.28	1510.61	976.41	1517.45	976.47	1252.54	990.38	1259.28	990.33	925.18	337.75	936.95	254.37	0	1	1	2	-1	-1	-38.23	-48.65	707.07	19.80	-52.19	712.80	0.01	0.28	-0.96	0.03	0.30	-0.95	0	 -1	
502412609	SMP	1	1515.09	971.91	1254.80	985.46	14.40	14.40	3.05	15.21	15.21	3.27	1510.73	976.52	1517.49	976.60	1252.53	990.40	1259.31	990.38	929.61	323.69	937.44	268.08	0	1	1	2	-1	-1	-38.27	-48.70	707.44	19.75	-52.09	711.40	0.01	0.28	-0.96	0.03	0.30	-0.95	0	 -1	
502445945	SMP	1	1514.96	970.72	1254.83	984.44	14.11	14.11	3.04	15.36	15.36	3.27	1510.66	976.31	1517.39	976.33	1252.60	989.80	1259.15	989.90	936.04	150.31	940.89	201.89	0	1	1	2	-1	-1	-38.23	-48.62	707.07	19.80	-52.07	712.84	0.01	0.32	-0.95	0.02	0.32	-0.95	0	 -1	
