## [iView]
## Converted from:	C:\Users\Administrator\Desktop\results\gaze_xsit_01\pn9-[5899e047-8a53-49e3-90d7-ee427d6dff74]\pn9-eye_data.idf
## Date:	03.12.2015 11:30:17
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4463                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	pn9                                                                                                                                                                                                                                                             
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2694085238	MSG	1	# Message: 5c24dc9177d235c028e914f1b1373878_1920x1080.avi
2694122000	SMP	1	1738.50	1041.93	1515.64	1019.20	16.43	16.43	4.21	16.36	16.36	4.09	1732.21	1042.46	1736.70	1042.50	1511.48	1019.62	1515.96	1019.82	137.27	780.11	153.69	786.37	0	1	1	2	-1	-1	-104.83	-75.89	845.61	-45.79	-70.01	848.30	-0.10	0.12	-0.99	-0.05	0.11	-0.99	0	 -1	
2694155188	SMP	1	1737.85	1039.76	1515.12	1017.00	16.63	16.63	4.21	16.19	16.19	4.10	1731.72	1040.82	1736.51	1040.64	1511.59	1018.28	1516.16	1018.19	164.71	659.24	303.62	573.02	0	1	1	2	-1	-1	-104.05	-74.92	840.07	-45.79	-69.55	847.63	-0.08	0.14	-0.99	-0.02	0.15	-0.99	0	 -1	
2694188507	SMP	1	1737.55	1038.62	1515.81	1016.01	16.78	16.78	4.23	16.29	16.29	4.11	1731.75	1039.78	1736.52	1039.58	1512.14	1017.39	1516.59	1017.50	275.10	613.12	234.25	518.45	0	1	1	2	-1	-1	-104.08	-74.66	840.24	-46.22	-69.78	852.98	-0.07	0.15	-0.99	-0.03	0.16	-0.99	0	 -1	
2694221786	SMP	1	1737.97	1037.79	1515.96	1015.22	16.69	16.69	4.23	16.32	16.32	4.13	1732.03	1038.98	1736.66	1039.00	1512.54	1016.53	1516.92	1016.68	217.06	576.95	302.64	515.88	0	1	1	2	-1	-1	-104.50	-74.74	843.22	-46.57	-69.94	857.77	-0.08	0.15	-0.99	-0.02	0.16	-0.99	0	 -1	
2694255120	SMP	1	1737.98	1037.01	1516.60	1014.74	16.91	16.91	4.25	16.23	16.23	4.13	1732.50	1038.15	1736.97	1038.25	1512.76	1015.71	1517.47	1015.80	309.80	565.96	256.08	620.84	0	1	1	2	-1	-1	-105.25	-74.99	848.40	-46.16	-68.94	848.31	-0.06	0.15	-0.99	-0.03	0.14	-0.99	0	 -1	
2694288446	SMP	1	1733.56	1033.98	1513.08	1011.28	17.09	17.09	4.28	15.80	15.80	4.13	1729.80	1036.16	1734.51	1036.39	1511.42	1013.62	1515.73	1013.62	843.63	211.17	816.65	200.85	0	1	1	2	-1	-1	-103.97	-74.05	843.60	-46.59	-69.62	863.92	0.04	0.21	-0.98	0.08	0.21	-0.97	0	 -1	
2694321831	SMP	1	1733.40	1033.87	1513.07	1011.20	17.38	17.38	4.31	15.62	15.62	4.12	1730.13	1036.20	1734.72	1036.35	1511.53	1013.51	1515.92	1013.57	942.67	187.72	842.61	201.75	0	1	1	2	-1	-1	-104.42	-74.32	846.71	-46.57	-69.50	862.66	0.06	0.22	-0.97	0.09	0.21	-0.97	0	 -1	
2694355178	SMP	1	1734.43	1034.17	1513.62	1010.92	17.15	17.15	4.33	15.56	15.56	4.11	1730.97	1036.45	1735.57	1036.53	1512.32	1013.42	1516.59	1013.50	909.86	190.93	882.65	162.83	0	1	1	2	-1	-1	-104.72	-74.43	847.27	-47.17	-70.08	870.12	0.05	0.21	-0.98	0.10	0.22	-0.97	0	 -1	
2694388447	SMP	1	1735.25	1034.68	1514.39	1010.90	16.98	16.98	4.33	15.50	15.50	4.09	1731.80	1036.80	1736.54	1036.63	1512.80	1013.43	1517.49	1013.49	925.72	243.17	877.94	166.14	0	1	1	2	-1	-1	-104.64	-74.26	844.68	-46.46	-68.75	853.56	0.06	0.20	-0.98	0.09	0.22	-0.97	0	 -1	
2694421812	SMP	1	1736.04	1034.83	1515.06	1011.00	16.73	16.73	4.32	15.70	15.70	4.08	1732.58	1037.00	1737.20	1037.11	1513.55	1013.51	1518.22	1013.51	917.25	215.61	890.01	170.01	0	1	1	2	-1	-1	-105.07	-74.52	846.57	-46.70	-68.82	854.31	0.06	0.21	-0.98	0.10	0.22	-0.97	0	 -1	
2694455096	SMP	1	1735.66	1035.31	1514.65	1011.57	17.16	17.16	4.34	15.54	15.54	4.07	1732.61	1037.35	1737.40	1037.47	1513.62	1013.77	1518.19	1013.87	1013.58	238.59	1001.34	199.81	0	1	1	2	-1	-1	-104.73	-74.35	843.59	-46.90	-69.20	857.97	0.08	0.20	-0.98	0.12	0.20	-0.97	0	 -1	
2694488425	SMP	1	1736.22	1035.38	1514.97	1011.67	17.02	17.02	4.34	15.71	15.71	4.06	1732.97	1037.44	1737.56	1037.50	1513.69	1013.99	1518.34	1014.05	950.66	243.87	944.55	197.86	0	1	1	2	-1	-1	-105.23	-74.67	847.11	-46.78	-69.03	855.20	0.07	0.20	-0.98	0.11	0.21	-0.97	0	 -1	
2694521775	SMP	1	1736.31	1035.26	1515.10	1011.92	16.90	16.90	4.34	15.52	15.52	4.05	1733.10	1037.22	1737.61	1037.49	1513.69	1014.34	1518.42	1014.38	953.33	244.17	930.22	191.53	0	1	1	2	-1	-1	-105.52	-74.83	849.26	-46.62	-68.86	852.01	0.07	0.20	-0.98	0.10	0.21	-0.97	0	 -1	
2694555097	SMP	1	1736.41	1035.51	1514.89	1012.19	17.05	17.05	4.35	15.68	15.68	4.04	1733.10	1037.45	1737.71	1037.55	1513.56	1014.51	1518.41	1014.53	950.88	260.09	959.45	207.99	0	1	1	2	-1	-1	-105.38	-74.76	847.95	-46.33	-68.51	847.09	0.06	0.20	-0.98	0.11	0.21	-0.97	0	 -1	
2694588438	SMP	1	1736.33	1035.44	1514.69	1012.38	17.06	17.06	4.36	15.74	15.74	4.04	1733.11	1037.57	1737.72	1037.55	1513.52	1014.61	1518.09	1014.81	961.39	249.20	970.00	206.89	0	1	1	2	-1	-1	-105.43	-74.81	848.37	-46.73	-69.23	855.34	0.07	0.20	-0.98	0.11	0.21	-0.97	0	 -1	
2694621743	SMP	1	1736.36	1035.08	1514.77	1012.70	17.14	17.14	4.37	15.95	15.95	4.06	1733.13	1037.36	1737.79	1037.51	1513.53	1014.78	1518.04	1014.97	965.18	217.23	958.30	224.21	0	1	1	2	-1	-1	-105.36	-74.72	847.72	-46.87	-69.49	858.01	0.07	0.22	-0.97	0.11	0.20	-0.97	0	 -1	
2694655086	SMP	1	1736.52	1035.17	1514.86	1012.68	17.33	17.33	4.38	16.02	16.02	4.07	1733.49	1037.34	1738.16	1037.41	1513.60	1014.91	1518.18	1015.05	996.55	236.14	961.08	219.08	0	1	1	2	-1	-1	-105.37	-74.64	847.02	-46.76	-69.30	855.33	0.08	0.21	-0.98	0.11	0.21	-0.97	0	 -1	
2694688584	SMP	1	1736.87	1035.18	1514.88	1012.78	17.60	17.60	4.41	16.24	16.24	4.09	1733.63	1037.38	1738.36	1037.46	1513.66	1014.96	1518.31	1015.05	979.37	234.74	972.24	232.46	0	1	1	2	-1	-1	-105.32	-74.58	846.19	-46.63	-69.08	852.60	0.07	0.21	-0.98	0.11	0.20	-0.97	0	 -1	
2694721802	SMP	1	1736.83	1035.25	1514.95	1012.64	17.60	17.60	4.42	16.24	16.24	4.10	1733.66	1037.40	1738.50	1037.51	1513.68	1015.01	1518.35	1015.06	1000.13	240.32	972.58	219.54	0	1	1	2	-1	-1	-105.06	-74.40	843.97	-46.59	-69.02	851.68	0.08	0.21	-0.98	0.11	0.21	-0.97	0	 -1	
2694755074	SMP	1	1736.62	1035.10	1514.72	1012.70	17.49	17.49	4.44	16.13	16.13	4.11	1733.50	1037.29	1738.16	1037.42	1513.59	1014.79	1518.15	1015.00	1001.42	231.23	982.07	238.92	0	1	1	2	-1	-1	-105.20	-74.51	845.59	-46.64	-69.12	853.35	0.08	0.21	-0.97	0.12	0.20	-0.97	0	 -1	
2694788409	SMP	1	1735.99	1035.10	1514.34	1012.68	17.32	17.32	4.44	15.93	15.93	4.11	1732.83	1037.29	1737.57	1037.48	1513.22	1014.70	1517.56	1014.73	1005.25	226.55	981.11	255.10	0	1	1	2	-1	-1	-104.81	-74.37	843.88	-46.96	-69.73	861.52	0.08	0.21	-0.97	0.11	0.19	-0.98	0	 -1	
2694821767	SMP	1	1735.06	1034.86	1513.51	1012.42	17.17	17.17	4.43	15.68	15.68	4.11	1731.84	1037.11	1736.56	1037.40	1512.40	1014.64	1516.71	1014.63	997.04	210.63	978.09	241.08	0	1	1	2	-1	-1	-104.51	-74.31	843.58	-46.89	-69.95	864.55	0.07	0.22	-0.97	0.11	0.20	-0.97	0	 -1	
2694855113	SMP	1	1734.24	1035.48	1512.78	1012.88	17.02	17.02	4.41	15.78	15.78	4.10	1730.73	1037.43	1735.52	1037.52	1511.45	1015.13	1515.97	1015.06	980.26	252.56	972.57	247.12	0	1	1	2	-1	-1	-104.00	-74.20	841.74	-46.30	-69.53	857.76	0.06	0.20	-0.98	0.10	0.20	-0.97	0	 -1	
2694888419	SMP	1	1732.45	1036.12	1511.14	1013.64	17.19	17.19	4.41	15.43	15.43	4.08	1728.94	1038.03	1733.64	1038.08	1509.63	1015.77	1514.25	1015.93	967.73	272.31	959.80	252.32	0	1	1	2	-1	-1	-103.56	-74.40	842.17	-45.66	-69.51	854.98	0.05	0.19	-0.98	0.10	0.20	-0.97	0	 -1	
2694921813	SMP	1	1730.29	1037.16	1509.29	1015.17	16.72	16.72	4.38	15.47	15.47	4.06	1726.92	1039.07	1731.63	1039.16	1507.64	1017.41	1512.41	1017.44	980.54	276.23	938.20	252.48	0	1	1	2	-1	-1	-103.02	-74.68	842.13	-44.94	-69.62	851.15	0.06	0.19	-0.98	0.09	0.20	-0.97	0	 -1	
2694955046	SMP	1	1728.47	1038.31	1507.37	1016.53	16.79	16.79	4.37	15.30	15.30	4.03	1724.99	1040.42	1729.54	1040.49	1505.71	1018.69	1510.45	1018.71	948.83	239.55	923.96	261.45	0	1	1	2	-1	-1	-102.75	-75.23	844.34	-44.38	-69.91	850.45	0.05	0.20	-0.98	0.09	0.20	-0.98	0	 -1	
2694988397	SMP	1	1726.18	1039.39	1505.42	1017.83	16.61	16.61	4.35	15.44	15.44	4.02	1722.95	1041.47	1727.56	1041.51	1503.75	1019.94	1508.41	1020.02	982.69	252.52	907.03	264.35	0	1	1	2	-1	-1	-102.22	-75.52	844.45	-43.90	-70.35	851.59	0.07	0.20	-0.98	0.09	0.20	-0.98	0	 -1	
2695021701	SMP	1	1724.44	1040.25	1503.58	1018.32	16.63	16.63	4.33	15.41	15.41	4.01	1720.71	1041.91	1725.43	1041.83	1501.87	1020.55	1506.50	1020.55	916.98	371.63	887.92	263.18	0	1	1	2	-1	-1	-101.47	-75.49	843.01	-43.41	-70.54	852.08	0.04	0.18	-0.98	0.08	0.20	-0.98	0	 -1	
2695055045	SMP	1	1723.72	1041.50	1503.55	1020.32	16.79	16.79	4.32	15.68	15.68	4.02	1719.56	1042.94	1724.09	1042.94	1501.26	1021.71	1505.62	1021.81	733.49	441.37	654.59	487.44	0	1	1	2	-1	-1	-101.42	-75.99	845.43	-43.71	-71.69	861.92	0.01	0.17	-0.99	0.04	0.16	-0.99	0	 -1	
2695088380	SMP	1	1722.54	1043.09	1502.88	1022.19	16.55	16.55	4.31	15.70	15.70	4.02	1717.70	1043.86	1722.54	1043.66	1499.86	1023.31	1504.53	1023.38	600.78	711.37	494.92	567.66	0	1	1	2	-1	-1	-100.46	-75.83	841.18	-42.91	-71.35	852.67	-0.02	0.13	-0.99	0.01	0.15	-0.99	0	 -1	
