## [iView]
## Converted from:	C:\Users\Administrator\Desktop\results\gaze_xsit_01\pn12-[11af2d87-5540-4a2b-bf30-fef61de872fe]\pn12-eye_data.idf
## Date:	04.12.2015 14:02:16
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4416                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	pn12                                                                                                                                                                                                                                                            
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2631029074	MSG	1	# Message: 8b86f09171cd2952482360b33cb50ebd_1920x1080.avi
2631044819	SMP	1	1250.71	1045.17	976.04	1033.61	18.27	18.27	3.50	17.75	17.75	3.26	1240.93	1047.45	1248.66	1047.51	967.50	1036.57	976.31	1036.44	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	20.52	-59.88	655.69	72.23	-53.86	613.11	-0.28	0.18	-0.94	-0.27	0.20	-0.94	0	 -1	
2631078082	SMP	1	1250.69	1045.26	975.92	1033.72	18.44	18.44	3.53	17.98	17.98	3.27	1240.95	1047.54	1248.68	1047.57	967.49	1036.63	976.34	1036.49	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	20.52	-59.91	655.82	72.19	-53.85	612.82	-0.28	0.18	-0.94	-0.27	0.20	-0.94	0	 -1	
2631112557	SMP	1	1250.66	1045.34	975.97	1033.66	18.20	18.20	3.54	18.15	18.15	3.29	1240.93	1047.54	1248.66	1047.61	967.54	1036.58	976.36	1036.46	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	20.53	-59.93	656.02	72.18	-53.83	612.79	-0.28	0.18	-0.94	-0.27	0.20	-0.94	0	 -1	
2631144704	SMP	1	1250.45	1045.39	975.97	1033.63	18.26	18.26	3.55	18.10	18.10	3.30	1240.85	1047.56	1248.64	1047.64	967.50	1036.63	976.36	1036.46	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	20.53	-59.92	655.85	72.16	-53.82	612.56	-0.27	0.18	-0.95	-0.27	0.20	-0.94	0	 -1	
2631178032	SMP	1	1250.55	1045.31	975.89	1033.61	18.28	18.28	3.56	17.87	17.87	3.31	1240.82	1047.57	1248.57	1047.59	967.46	1036.58	976.31	1036.44	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	20.55	-59.92	655.87	72.17	-53.81	612.56	-0.28	0.18	-0.94	-0.27	0.20	-0.94	0	 -1	
2631211455	SMP	1	1245.61	1042.29	971.00	1030.72	18.68	18.68	3.58	18.80	18.80	3.34	1237.27	1045.72	1245.33	1045.85	964.78	1034.76	973.38	1034.56	39.57	683.12	157.72	691.49	0	1	1	2	-1	-1	21.20	-59.39	654.15	72.85	-53.55	613.66	-0.21	0.23	-0.95	-0.18	0.24	-0.95	0	 -1	
2631244698	SMP	1	1237.25	1037.49	963.97	1026.36	18.42	18.42	3.59	17.82	17.82	3.34	1232.08	1043.32	1240.31	1043.47	960.87	1032.55	969.27	1032.32	760.00	251.56	857.10	321.09	0	1	1	2	-1	-1	22.14	-58.59	650.82	73.96	-53.36	616.45	-0.08	0.33	-0.94	-0.07	0.32	-0.94	0	 -1	
2631278051	SMP	1	1237.33	1037.48	963.62	1026.29	18.24	18.24	3.58	17.58	17.58	3.33	1232.14	1043.42	1240.38	1043.49	960.38	1032.53	968.93	1032.29	758.76	249.38	840.78	316.99	0	1	1	2	-1	-1	22.04	-58.38	648.32	74.04	-53.35	616.42	-0.08	0.33	-0.94	-0.07	0.33	-0.94	0	 -1	
2631311558	SMP	1	1237.17	1037.73	963.28	1026.56	18.12	18.12	3.57	17.70	17.70	3.33	1232.13	1043.55	1240.32	1043.63	960.11	1032.60	968.37	1032.37	782.52	257.02	825.41	322.02	0	1	1	2	-1	-1	22.01	-58.29	647.02	74.76	-53.83	621.77	-0.07	0.33	-0.94	-0.07	0.32	-0.94	0	 -1	
