## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\gaze_xsit_01\051216_02-[7a44e0e8-c930-4c2d-af93-58b7ca1c61b4]\051216_02-eye_data.idf
## Date:	12.05.2016 11:33:46
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4444                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	051216_02                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(96;54)
## Calibration Point 1:	Position(1824;1026)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2354036965	MSG	1	# Message: 8b86f09171cd2952482360b33cb50ebd_1920x1080.avi
2354053358	SMP	1	1243.99	637.12	1006.33	629.10	18.56	18.56	4.42	18.86	18.86	4.51	1240.68	638.70	1246.19	638.73	1005.97	630.96	1011.38	630.96	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	24.87	30.03	783.92	83.89	32.21	790.12	-0.06	0.04	-1.00	0.02	0.05	-1.00	0	 -1	
2354086720	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
2354120087	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
2354153344	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
2354186676	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
2354219994	SMP	1	1249.55	636.33	1011.13	626.45	17.79	17.79	4.39	18.81	18.81	4.51	1245.45	638.17	1250.67	638.14	1010.30	628.53	1015.52	628.49	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	24.11	30.65	796.57	83.26	33.00	794.27	-0.11	0.06	-0.99	-0.01	0.06	-1.00	0	 -1	
2354253330	SMP	1	1249.32	636.94	1011.15	627.35	17.83	17.83	4.37	18.10	18.10	4.47	1245.23	638.49	1250.47	638.48	1009.93	629.15	1015.43	629.18	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	24.12	30.52	795.35	82.70	32.58	788.34	-0.10	0.04	-0.99	-0.02	0.05	-1.00	0	 -1	
2354286666	SMP	1	1248.99	637.29	1010.93	627.95	17.67	17.67	4.33	18.25	18.25	4.44	1244.72	639.17	1250.16	639.13	1009.54	629.64	1015.29	629.72	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	23.98	30.05	787.41	81.89	32.11	780.02	-0.11	0.06	-0.99	-0.03	0.05	-1.00	0	 -1	
2354320077	SMP	1	1248.61	637.45	1010.54	628.51	17.70	17.70	4.32	18.21	18.21	4.42	1244.53	639.45	1249.56	639.45	1009.39	630.41	1014.72	630.40	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	24.61	30.64	804.74	83.03	32.35	790.06	-0.11	0.07	-0.99	-0.02	0.06	-1.00	0	 -1	
