## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\gaze_xsit_01\051716_06-[f53b4bf9-0e5a-4482-88ad-3ec8ee48084d]\051716_06-eye_data.idf
## Date:	17.05.2016 11:32:48
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4418                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	051716_06                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
5517793129	MSG	1	# Message: 8b86f09171cd2952482360b33cb50ebd_1920x1080.avi
5517812170	SMP	1	1458.91	495.12	1170.76	493.64	18.36	18.36	3.53	19.65	19.65	3.60	1447.35	497.39	1455.25	497.69	1161.12	496.53	1169.93	497.07	25.20	854.90	92.10	821.49	0	1	1	2	-1	-1	-22.41	54.47	655.64	34.64	51.15	613.99	-0.29	0.02	-0.96	-0.26	0.05	-0.96	0	 -1	
5517845507	SMP	1	1459.29	495.32	1171.32	493.81	17.79	17.79	3.52	19.40	19.40	3.60	1447.67	497.51	1455.73	497.91	1161.53	496.54	1170.36	497.11	41.77	855.42	83.57	823.89	0	1	1	2	-1	-1	-22.32	54.02	650.64	34.57	51.16	614.11	-0.29	0.02	-0.96	-0.26	0.04	-0.96	0	 -1	
5517878832	SMP	1	1459.14	494.79	1171.09	493.68	18.42	18.42	3.54	19.53	19.53	3.60	1447.83	497.45	1455.94	497.86	1161.68	496.40	1170.56	496.88	82.44	820.26	96.33	826.76	0	1	1	2	-1	-1	-22.27	53.81	647.98	34.53	51.19	614.05	-0.27	0.04	-0.96	-0.25	0.04	-0.97	0	 -1	
5517912161	SMP	1	1459.73	495.37	1171.40	493.56	18.05	18.05	3.53	19.45	19.45	3.60	1447.92	497.36	1456.04	497.69	1161.80	496.24	1170.60	496.57	44.52	867.46	85.57	834.68	0	1	1	2	-1	-1	-22.24	53.73	646.71	34.53	51.25	614.25	-0.29	0.01	-0.96	-0.26	0.03	-0.97	0	 -1	
5517945560	SMP	1	0.00	0.00	1171.51	493.42	0.00	0.00	0.00	19.24	19.24	3.60	0.00	0.00	0.00	0.00	1161.75	496.02	1170.53	496.36	0.00	0.00	76.55	843.31	0	0	1	1	-1	-1	0.00	0.00	0.00	34.55	51.31	614.47	0.00	0.00	0.00	-0.27	0.03	-0.96	0	 -1	
5517978826	SMP	1	0.00	0.00	1167.95	492.32	0.00	0.00	0.00	18.62	18.62	3.57	0.00	0.00	0.00	0.00	1159.63	495.26	1168.60	495.50	0.00	0.00	288.91	833.87	0	0	1	1	-1	-1	0.00	0.00	0.00	34.92	51.43	613.98	0.00	0.00	0.00	-0.21	0.04	-0.98	0	 -1	
5518012151	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
5518045488	SMP	1	1445.17	486.36	1158.56	485.56	18.33	18.33	3.53	18.29	18.29	3.53	1438.87	493.86	1447.51	493.48	1154.53	492.83	1163.36	492.95	889.07	166.18	887.02	219.37	0	1	1	2	-1	-1	-20.11	53.64	636.30	35.93	51.92	614.09	-0.05	0.22	-0.97	-0.04	0.21	-0.98	0	 -1	
5518078874	SMP	1	1445.14	485.74	1158.09	485.39	18.05	18.05	3.51	17.98	17.98	3.50	1438.71	493.59	1447.34	493.31	1153.96	492.75	1162.74	492.96	880.49	142.20	878.93	208.71	0	1	1	2	-1	-1	-19.95	53.36	632.39	36.06	51.95	614.37	-0.06	0.23	-0.97	-0.04	0.21	-0.98	0	 -1	
