## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\gaze_xsit_01\p3-[03a1e051-f3bc-4d58-b5e7-c5f913230260]\p3-eye_data.idf
## Date:	17.07.2015 13:00:58
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4417                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	p3                                                                                                                                                                                                                                                              
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
123472318	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
142978205	MSG	1	# Message: 8b86f09171cd2952482360b33cb50ebd_1920x1080.avi
143003828	SMP	1	1478.90	669.61	1193.44	681.14	15.02	15.02	3.09	15.86	15.86	3.30	1477.36	674.44	1484.49	674.21	1194.42	686.14	1201.46	685.82	1478.50	429.11	1478.50	429.11	0	1	1	2	-1	-1	-29.64	18.37	680.21	31.72	16.03	687.39	0.13	0.18	-0.97	0.16	0.19	-0.97	0	 -1	
143037152	SMP	1	1478.53	669.25	1193.00	680.96	14.86	14.86	3.08	16.05	16.05	3.31	1476.62	674.33	1484.01	674.06	1193.97	685.86	1200.99	685.69	1473.21	424.09	1473.21	424.09	0	1	1	2	-1	-1	-29.41	18.34	678.02	31.86	16.09	688.24	0.12	0.19	-0.97	0.16	0.19	-0.97	0	 -1	
143070519	SMP	1	1479.91	668.72	1194.19	680.02	15.26	15.26	3.09	15.90	15.90	3.30	1477.52	673.44	1484.48	673.44	1194.50	685.33	1201.55	685.16	1401.54	416.21	1401.54	416.21	0	1	1	2	-1	-1	-29.74	18.62	682.29	31.75	16.21	688.46	0.09	0.18	-0.98	0.13	0.21	-0.97	0	 -1	
143103802	SMP	1	1482.90	667.77	1197.80	678.99	15.11	15.11	3.09	16.05	16.05	3.31	1478.84	673.02	1486.07	672.95	1196.51	684.40	1203.55	684.38	1109.16	382.41	1109.16	382.41	0	1	1	2	-1	-1	-29.96	18.66	680.11	31.34	16.41	688.99	0.02	0.20	-0.98	0.06	0.22	-0.97	0	 -1	
143137130	SMP	1	1482.92	667.48	1197.76	678.63	14.86	14.86	3.08	15.84	15.84	3.30	1478.82	672.66	1486.07	672.83	1196.50	684.36	1203.34	684.30	1105.91	338.57	1105.91	338.57	0	1	1	2	-1	-1	-29.97	18.71	680.23	31.46	16.48	691.15	0.02	0.20	-0.98	0.05	0.23	-0.97	0	 -1	
143170469	SMP	1	1483.05	667.30	1197.72	678.73	15.02	15.02	3.07	16.00	16.00	3.31	1478.91	672.58	1486.31	672.57	1196.50	684.34	1203.34	684.27	1106.88	338.05	1106.88	338.05	0	1	1	2	-1	-1	-29.93	18.70	678.49	31.52	16.51	692.33	0.02	0.20	-0.98	0.06	0.23	-0.97	0	 -1	
143203793	SMP	1	1483.39	667.23	1197.96	678.58	14.87	14.87	3.07	15.92	15.92	3.30	1479.51	672.45	1486.49	672.42	1196.55	684.28	1203.79	684.09	1108.44	333.84	1108.44	333.84	0	1	1	2	-1	-1	-30.21	18.86	682.99	31.30	16.45	688.82	0.02	0.20	-0.98	0.06	0.23	-0.97	0	 -1	
143237198	SMP	1	1483.73	667.37	1198.43	678.46	14.87	14.87	3.06	16.08	16.08	3.31	1479.64	672.45	1487.04	672.49	1197.11	683.96	1204.26	684.14	1110.13	339.46	1110.13	339.46	0	1	1	2	-1	-1	-30.08	18.72	678.39	31.21	16.49	689.28	0.03	0.20	-0.98	0.06	0.23	-0.97	0	 -1	
