## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\gaze_xsit_01\p4-[c94c8adb-f69d-44f5-9851-90d9a1d7cf39]\p4-eye_data.idf
## Date:	23.07.2015 15:13:52
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4472                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	p4                                                                                                                                                                                                                                                              
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
58632809	SMP	1	1429.30	749.34	1129.40	764.96	21.13	21.13	4.06	20.66	20.66	3.99	1423.60	752.45	1431.69	752.57	1125.91	768.65	1134.24	768.58	921.30	539.48	921.30	539.48	0	1	1	2	-1	-1	-17.01	1.41	637.70	43.02	-1.84	635.72	-0.04	0.13	-0.99	-0.04	0.15	-0.99	0		
58666140	SMP	1	1428.75	749.35	1128.77	765.05	20.89	20.89	4.04	20.58	20.58	3.98	1422.75	752.49	1431.37	752.53	1125.36	768.67	1133.45	768.53	915.16	543.57	915.16	543.57	0	1	1	2	-1	-1	-16.81	1.41	634.49	43.25	-1.84	637.14	-0.04	0.13	-0.99	-0.04	0.15	-0.99	0	 -1	
71762378	MSG	1	# Message: 5c24dc9177d235c028e914f1b1373878_1920x1080.avi
71798255	SMP	1	1440.99	747.10	1137.52	764.28	20.40	20.40	3.89	20.40	20.40	3.89	1434.67	751.40	1443.00	751.59	1133.31	769.23	1141.48	769.33	706.72	403.11	706.72	403.11	0	1	1	2	-1	-1	-19.14	1.61	633.17	41.29	-1.96	631.87	-0.06	0.18	-0.98	-0.07	0.21	-0.98	0	 -1	
71831638	SMP	1	1440.82	747.00	1137.25	764.47	20.27	20.27	3.88	20.46	20.46	3.89	1434.54	751.50	1442.78	751.69	1133.05	769.38	1141.40	769.40	708.26	402.32	708.26	402.32	0	1	1	2	-1	-1	-19.12	1.59	633.81	41.26	-1.98	630.94	-0.06	0.19	-0.98	-0.06	0.20	-0.98	0	 -1	
71864926	SMP	1	1440.35	746.99	1137.02	764.34	20.57	20.57	3.88	20.31	20.31	3.88	1433.98	751.46	1442.54	751.52	1132.69	769.34	1141.35	769.37	710.74	405.18	710.74	405.18	0	1	1	2	-1	-1	-18.99	1.61	632.14	41.15	-1.97	628.65	-0.06	0.18	-0.98	-0.06	0.21	-0.98	0	 -1	
71898248	SMP	1	1440.12	746.73	1136.84	764.23	20.29	20.29	3.88	20.07	20.07	3.87	1433.71	751.36	1442.09	751.38	1132.49	769.32	1140.86	769.22	706.76	402.87	706.76	402.87	0	1	1	2	-1	-1	-18.94	1.63	632.70	41.33	-1.95	630.21	-0.06	0.19	-0.98	-0.07	0.21	-0.98	0	 -1	
71931575	SMP	1	1439.70	746.47	1136.31	764.19	20.07	20.07	3.87	20.16	20.16	3.86	1433.48	751.17	1441.70	751.13	1131.98	769.14	1140.42	769.28	708.13	402.56	708.13	402.56	0	1	1	2	-1	-1	-18.90	1.68	633.61	41.38	-1.94	629.64	-0.06	0.19	-0.98	-0.07	0.21	-0.98	0	 -1	
71964907	SMP	1	1439.18	746.34	1135.95	764.14	20.22	20.22	3.86	20.00	20.00	3.84	1432.81	750.76	1441.15	750.96	1131.57	768.97	1139.96	768.94	707.06	407.56	707.06	407.56	0	1	1	2	-1	-1	-18.77	1.73	633.21	41.48	-1.89	629.83	-0.06	0.18	-0.98	-0.07	0.20	-0.98	0	 -1	
71998241	SMP	1	1434.87	744.68	1132.01	762.82	20.28	20.28	3.86	19.91	19.91	3.83	1430.15	749.70	1438.49	749.86	1129.46	768.36	1137.73	768.16	973.48	363.36	973.48	363.36	0	1	1	2	-1	-1	-18.23	1.95	633.28	41.98	-1.75	630.84	0.00	0.21	-0.98	0.00	0.22	-0.97	0	 -1	
72031585	SMP	1	1434.59	744.57	1131.80	762.70	20.12	20.12	3.85	19.77	19.77	3.82	1429.79	749.52	1438.29	749.66	1129.39	768.16	1137.39	768.20	973.95	347.94	973.95	347.94	0	1	1	2	-1	-1	-18.15	1.99	632.36	42.26	-1.75	634.41	0.00	0.20	-0.98	0.00	0.23	-0.97	0	 -1	
72064895	SMP	1	1434.45	744.56	1131.76	762.76	20.10	20.10	3.84	19.83	19.83	3.81	1429.64	749.42	1438.08	749.60	1129.14	768.03	1137.31	768.29	969.58	351.23	969.58	351.23	0	1	1	2	-1	-1	-18.12	2.00	632.41	42.26	-1.74	633.97	0.00	0.20	-0.98	0.00	0.22	-0.97	0	 -1	
72098232	SMP	1	1434.53	744.53	1131.73	762.70	20.07	20.07	3.84	19.59	19.59	3.80	1429.62	749.41	1437.97	749.55	1129.04	768.05	1137.30	768.29	963.53	341.20	963.53	341.20	0	1	1	2	-1	-1	-18.11	2.01	632.70	42.26	-1.74	633.74	0.00	0.20	-0.98	0.00	0.23	-0.97	0	 -1	
72131557	SMP	1	1434.45	744.71	1131.65	762.74	20.13	20.13	3.84	19.59	19.59	3.79	1429.62	749.44	1437.92	749.66	1128.96	768.18	1137.30	768.31	962.26	341.80	962.26	341.80	0	1	1	2	-1	-1	-18.12	2.00	633.12	42.26	-1.76	633.60	0.00	0.19	-0.98	0.00	0.23	-0.97	0	 -1	
72164887	SMP	1	1434.51	744.71	1131.62	762.80	20.19	20.19	3.84	19.75	19.75	3.78	1429.61	749.44	1437.90	749.69	1129.07	768.16	1137.29	768.31	960.86	339.67	960.86	339.67	0	1	1	2	-1	-1	-18.13	2.00	633.48	42.34	-1.76	634.95	0.00	0.20	-0.98	0.00	0.23	-0.97	0	 -1	
72198225	SMP	1	1434.42	744.65	1131.83	762.66	20.41	20.41	3.84	19.80	19.80	3.78	1429.61	749.42	1437.89	749.58	1129.05	768.06	1137.30	768.28	958.55	334.28	958.55	334.28	0	1	1	2	-1	-1	-18.13	2.01	633.68	42.35	-1.75	635.10	0.00	0.20	-0.98	-0.01	0.23	-0.97	0	 -1	
72231909	SMP	1	1434.27	744.57	1131.84	762.83	20.23	20.23	3.84	19.86	19.86	3.78	1429.59	749.42	1437.83	749.60	1128.99	768.17	1137.31	768.32	957.96	330.85	957.96	330.85	0	1	1	2	-1	-1	-18.13	2.01	633.98	42.34	-1.76	634.87	0.00	0.20	-0.98	-0.01	0.22	-0.97	0	 -1	
72264877	SMP	1	1434.24	744.64	1131.62	763.05	20.28	20.28	3.85	20.01	20.01	3.79	1429.40	749.62	1437.63	749.79	1128.77	768.38	1137.28	768.35	955.90	328.13	955.90	328.13	0	1	1	2	-1	-1	-18.11	1.97	634.53	42.28	-1.78	633.60	0.00	0.20	-0.98	-0.01	0.22	-0.98	0	 -1	
72298211	SMP	1	1434.12	744.84	1131.61	763.29	20.40	20.40	3.85	20.20	20.20	3.80	1429.15	749.96	1437.47	749.93	1128.69	768.55	1137.21	768.46	952.12	327.74	952.12	327.74	0	1	1	2	-1	-1	-18.07	1.92	634.60	42.26	-1.81	633.01	-0.01	0.21	-0.98	-0.01	0.22	-0.98	0	 -1	
72331540	SMP	1	1433.74	744.10	1131.86	762.23	20.34	20.34	3.85	19.72	19.72	3.79	1428.72	749.40	1437.34	749.47	1129.02	768.21	1137.28	768.27	951.18	279.37	951.18	279.37	0	1	1	2	-1	-1	-17.96	2.02	632.82	42.31	-1.76	634.45	0.00	0.22	-0.98	-0.01	0.25	-0.97	0	 -1	
72364865	SMP	1	1434.10	743.99	1131.90	762.37	19.92	19.92	3.84	19.85	19.85	3.79	1429.16	749.60	1437.45	749.65	1129.07	768.22	1137.29	768.30	946.94	251.33	946.94	251.33	0	1	1	2	-1	-1	-18.05	1.99	634.11	42.34	-1.76	634.98	-0.01	0.23	-0.97	-0.01	0.24	-0.97	0	 -1	
72398208	SMP	1	1434.40	744.37	1132.09	762.46	20.37	20.37	3.85	19.73	19.73	3.79	1429.47	749.70	1437.73	749.78	1129.39	768.26	1137.35	768.31	943.70	266.43	943.70	266.43	0	1	1	2	-1	-1	-18.13	1.96	634.60	42.51	-1.78	638.02	-0.01	0.22	-0.98	-0.01	0.24	-0.97	0	 -1	
