## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\gaze_xsit_01\080602--[4c23c386-63c0-4ef0-9b79-d15bc5c6b011]\080602--eye_data.idf
## Date:	06.08.2015 16:58:33
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4411                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	080602-                                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
416341213	SMP	1	1712.01	695.99	1422.09	772.20	18.36	18.36	3.01	19.69	19.69	3.48	1706.87	701.48	1718.47	701.25	1417.98	777.23	1428.01	776.93	1054.45	507.66	1054.45	507.66	0	1	1	2	-1	-1	-63.53	10.01	542.87	-14.51	-3.21	575.76	0.13	0.17	-0.98	0.06	0.19	-0.98	0		
431074513	MSG	1	# Message: 8b86f09171cd2952482360b33cb50ebd_1920x1080.avi
431106433	SMP	1	1419.09	1007.11	1176.14	1045.49	14.56	14.56	3.02	15.38	15.38	3.16	1412.78	1011.31	1419.78	1011.39	1169.98	1049.14	1177.10	1048.96	442.19	434.76	442.19	434.76	0	1	1	2	-1	-1	-16.02	-55.45	694.22	37.26	-63.50	691.48	-0.10	0.27	-0.96	-0.17	0.25	-0.95	0	 -1	
431139793	SMP	1	1418.98	1007.01	1175.84	1045.61	14.00	14.00	3.00	15.46	15.46	3.18	1412.69	1011.37	1419.52	1011.46	1169.85	1049.32	1176.59	1049.33	441.03	415.23	441.03	415.23	0	1	1	2	-1	-1	-16.03	-55.62	696.25	37.61	-64.02	696.58	-0.11	0.27	-0.96	-0.17	0.25	-0.95	0	 -1	
431173099	SMP	1	1418.73	1006.95	1175.78	1045.64	14.21	14.21	3.00	15.39	15.39	3.19	1412.58	1011.34	1419.49	1011.51	1169.80	1049.39	1176.48	1049.48	444.19	400.04	444.19	400.04	0	1	1	2	-1	-1	-15.99	-55.56	695.47	37.73	-64.22	698.49	-0.10	0.28	-0.96	-0.17	0.26	-0.95	0	 -1	
431206394	SMP	1	1418.64	1007.07	1175.75	1045.47	14.33	14.33	3.00	15.36	15.36	3.20	1412.40	1011.31	1419.43	1011.44	1169.67	1049.16	1176.49	1049.43	445.43	403.66	445.43	403.66	0	1	1	2	-1	-1	-15.93	-55.43	693.89	37.68	-64.09	697.33	-0.10	0.27	-0.96	-0.17	0.26	-0.95	0	 -1	
431239768	SMP	1	1413.34	1005.47	1171.43	1043.34	14.45	14.45	3.00	15.08	15.08	3.19	1409.51	1010.28	1416.40	1010.41	1167.29	1048.02	1174.39	1048.07	842.84	298.58	842.84	298.58	0	1	1	2	-1	-1	-15.31	-55.31	695.26	37.95	-63.43	693.17	0.00	0.29	-0.96	-0.08	0.30	-0.95	0	 -1	
431273048	SMP	1	1411.68	1004.64	1169.19	1042.69	14.34	14.34	3.01	15.13	15.13	3.18	0.00	0.00	1415.61	1009.37	1166.07	1047.77	1173.06	1047.50	1030.14	271.75	1030.14	271.75	0	1	1	2	-1	-1	-15.54	-56.34	710.93	38.29	-63.44	694.29	0.06	0.29	-0.95	-0.03	0.31	-0.95	0	 -1	
431306377	SMP	1	1411.22	1003.80	1168.61	1042.18	14.11	14.11	3.02	15.13	15.13	3.18	0.00	0.00	1415.10	1008.92	1165.49	1047.33	1172.41	1046.94	1025.35	221.04	1025.35	221.04	0	1	1	2	-1	-1	-15.52	-56.56	715.07	38.49	-63.44	695.48	0.05	0.31	-0.95	-0.04	0.31	-0.95	0	 -1	
431339710	SMP	1	1410.76	1003.55	1168.10	1042.09	13.63	13.63	3.00	15.10	15.10	3.18	0.00	0.00	1414.85	1008.82	1165.03	1047.13	1171.91	1046.85	1028.23	207.74	1028.23	207.74	0	1	1	2	-1	-1	-15.34	-56.17	710.45	38.61	-63.44	695.79	0.06	0.32	-0.95	-0.03	0.31	-0.95	0	 -1	
431373044	SMP	1	1410.61	1003.86	1167.80	1042.31	14.08	14.08	3.01	15.27	15.27	3.18	0.00	0.00	1414.72	1008.92	1164.59	1047.38	1171.51	1047.13	1031.79	207.48	1031.79	207.48	0	1	1	2	-1	-1	-15.57	-57.06	721.40	38.68	-63.46	695.35	0.07	0.31	-0.95	-0.04	0.31	-0.95	0	 -1	
431406373	SMP	1	1410.36	1004.15	1167.56	1042.25	14.45	14.45	3.03	15.00	15.00	3.18	0.00	0.00	1414.60	1008.94	1164.51	1047.41	1171.41	1047.27	1038.25	238.84	1038.25	238.84	0	1	1	2	-1	-1	-15.38	-56.55	714.81	38.71	-63.49	695.53	0.07	0.30	-0.95	-0.03	0.32	-0.95	0	 -1	
431439714	SMP	1	1411.50	1003.82	1168.58	1042.05	14.25	14.25	3.02	15.15	15.15	3.18	1407.56	1008.72	1414.50	1009.00	1165.14	1047.36	1171.93	1047.40	903.67	217.54	903.67	217.54	0	1	1	2	-1	-1	-14.96	-55.24	698.47	38.66	-63.62	696.80	0.00	0.30	-0.95	-0.05	0.33	-0.94	0	 -1	
431473027	SMP	1	1411.02	1003.83	1168.07	1042.43	14.11	14.11	3.01	15.29	15.29	3.18	1407.18	1009.16	1414.12	1009.14	1164.60	1047.67	1171.41	1047.51	898.32	199.57	898.32	199.57	0	1	1	2	-1	-1	-14.85	-55.24	697.68	38.77	-63.66	696.79	0.00	0.31	-0.95	-0.05	0.32	-0.95	0	 -1	
431506361	SMP	1	1410.50	1004.23	1167.53	1043.00	14.50	14.50	3.02	15.45	15.45	3.20	1406.59	1009.41	1413.54	1009.45	1163.97	1048.17	1170.82	1048.04	890.02	205.75	890.02	205.75	0	1	1	2	-1	-1	-14.72	-55.28	697.40	38.89	-63.74	696.42	0.00	0.31	-0.95	-0.06	0.32	-0.95	0	 -1	
431539691	SMP	1	1409.87	1004.25	1167.05	1043.09	14.30	14.30	3.01	15.24	15.24	3.20	1406.12	1009.47	1413.03	1009.51	1163.58	1048.38	1170.35	1048.39	893.40	196.52	893.40	196.52	0	1	1	2	-1	-1	-14.61	-55.30	697.49	39.04	-63.90	697.44	0.01	0.31	-0.95	-0.05	0.33	-0.94	0	 -1	
431573024	SMP	1	1409.53	1004.84	1166.81	1043.74	14.88	14.88	3.03	15.83	15.83	3.22	1405.68	1009.72	1412.59	1009.82	1163.29	1048.68	1170.13	1048.70	890.74	222.01	890.74	222.01	0	1	1	2	-1	-1	-14.52	-55.38	697.71	39.10	-63.97	697.54	0.00	0.30	-0.95	-0.06	0.31	-0.95	0	 -1	
431606424	SMP	1	1409.39	1004.53	1166.54	1043.89	14.59	14.59	3.04	15.87	15.87	3.24	1405.47	1009.85	1412.39	1009.83	1162.99	1049.07	1169.89	1048.92	889.10	196.60	889.10	196.60	0	1	1	2	-1	-1	-14.48	-55.40	697.77	39.15	-64.03	697.44	0.00	0.31	-0.95	-0.06	0.32	-0.95	0	 -1	
431639687	SMP	1	1409.34	1004.92	1166.49	1044.16	14.55	14.55	3.04	15.68	15.68	3.25	1405.41	1010.03	1412.34	1010.06	1163.07	1049.37	1169.86	1049.24	889.27	199.53	889.27	199.53	0	1	1	2	-1	-1	-14.46	-55.42	697.54	39.20	-64.19	698.42	0.00	0.31	-0.95	-0.05	0.32	-0.95	0	 -1	
431673008	SMP	1	1409.36	1005.01	1166.87	1044.06	14.84	14.84	3.05	15.80	15.80	3.27	1405.48	1010.01	1412.38	1010.00	1163.21	1049.28	1170.14	1049.26	883.22	204.49	883.22	204.49	0	1	1	2	-1	-1	-14.47	-55.41	697.45	39.11	-64.11	697.61	0.00	0.30	-0.95	-0.06	0.32	-0.94	0	 -1	
431706343	SMP	1	1403.87	1008.46	1162.07	1046.26	15.63	15.63	3.09	16.16	16.16	3.29	1402.61	1011.58	1409.74	1011.54	1160.85	1050.02	1167.85	1049.90	1342.12	526.39	1342.12	526.39	0	1	1	2	-1	-1	-13.80	-55.52	694.53	39.57	-64.17	696.59	0.12	0.22	-0.97	0.05	0.26	-0.97	0	 -1	
431739672	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
431773010	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
