subid,condition,trial_num_full,m_correct,m_gaze_follow,rt,shift_start,shift_end,shift_correct,shift_type
020816_01,gaze,9_exposure,0.28888888888888886,0.28888888888888886,0.6,left,right,TRUE,image_away
020816_01,gaze,9_test,0.9518072289156626,0,0.3333333333333333,right,left,TRUE,distracter_target
020916_01,no-gaze,1_exposure,0.1282051282051282,0,0.4,right,left,TRUE,distracter_target
020916_01,no-gaze,1_test,0.5454545454545454,0,0.4,right,left,TRUE,distracter_target
020916_01,no-gaze,10_exposure,0.09401709401709402,0,1.2666666666666666,face,left,FALSE,face_distracter
020916_01,no-gaze,10_test,0.7807017543859649,0,1.3333333333333333,left,right,FALSE,image_away
020916_01,no-gaze,11_exposure,0.5242718446601942,0,0.3333333333333333,right,left,TRUE,distracter_target
020916_01,no-gaze,11_test,0.4830508474576271,0,2.066666666666667,left,right,TRUE,image_away
020916_01,no-gaze,14_exposure,0.8032786885245902,0,0.2,face,left,TRUE,face_target
020916_01,no-gaze,14_test,0.8846153846153846,0,0.26666666666666666,left,right,FALSE,image_away
020916_01,no-gaze,15_exposure,0.7297297297297297,0,0.4666666666666667,left,right,FALSE,image_away
020916_01,no-gaze,15_test,1,0,NA,left,NA,NA,no_shift
020916_01,no-gaze,16_exposure,0.6752136752136753,0,0.3,left,right,TRUE,image_away
020916_01,no-gaze,16_test,0.4444444444444444,0,1.0333333333333334,right,face,FALSE,image_face
020916_01,no-gaze,2_exposure,0.7372881355932204,0,1.0666666666666667,left,right,FALSE,image_away
020916_01,no-gaze,2_test,1,0,NA,left,NA,NA,no_shift
020916_01,no-gaze,3_exposure,0.7457627118644068,0,1,left,right,TRUE,image_away
020916_01,no-gaze,3_test,0.5217391304347826,0,0.7333333333333333,right,left,FALSE,target_distracter
020916_01,no-gaze,4_exposure,0.4117647058823529,0,0.6,left,right,TRUE,image_away
020916_01,no-gaze,4_test,0.6910569105691057,0,0.6,right,left,FALSE,target_distracter
020916_01,no-gaze,5_exposure,0.14150943396226415,0,0.7333333333333333,left,face,FALSE,image_away
020916_01,no-gaze,5_test,0.12280701754385964,0,0.4666666666666667,right,left,FALSE,target_distracter
020916_01,no-gaze,6_exposure,0.2831858407079646,0,0.26666666666666666,left,right,TRUE,image_away
020916_01,no-gaze,6_test,0.8487394957983193,0,0.6,left,right,TRUE,image_away
020916_01,no-gaze,7_exposure,0.3050847457627119,0,1.3666666666666667,left,right,FALSE,image_away
020916_01,no-gaze,7_test,0.591304347826087,0,0.23333333333333334,right,left,FALSE,target_distracter
